student_id,subject_name,subject_code,semester,archetype,subject_score,attendance,lab_performance,previous_related_score,cgpa,credits,is_practical,class_avg_score,trend_indicator,weakness_severity,needs_intervention
STU_00004,DevOps Laboratory,ITSBL603,6,below_avg,44.8,83.5,63.4,28.8,4.86,2,1,69.6,0,3,1
STU_00005,Automata Theory,ITPCC509,5,average,36.6,49.2,47.9,48.5,5.75,4,0,54.9,0,3,1
STU_00005,Design & Analysis of Algorithms,ITPCC501,5,average,51.9,64.3,30.1,44.7,5.75,3,0,54.9,0,2,1
STU_00005,Cloud Computing Laboratory,ITLBC506,5,average,30.4,60.3,31.2,53.6,5.75,1,1,54.9,0,3,1
STU_00005,Mobile App Development Lab,ITLBC507,5,average,70.4,56.9,74.3,57.0,5.75,1,1,54.9,0,1,0
STU_00006,Engineering Mathematics-IV,MATH401,4,above_avg,45.7,99.9,20.6,40.8,7.39,4,0,54.9,0,1,0
STU_00006,Operating Systems,OS401,4,above_avg,50.6,96.8,58.0,43.9,7.39,4,0,54.9,1,1,0
STU_00006,Computer Networks,CN401,4,above_avg,47.6,78.5,51.9,45.0,7.39,4,0,54.9,1,2,1
STU_00006,Software Engineering,SE401,4,above_avg,68.6,100.0,44.3,59.5,7.39,4,0,54.9,1,0,0
STU_00006,Microcontroller & Embedded Systems,MES401,4,above_avg,35.4,88.8,13.5,57.7,7.39,4,0,54.9,1,2,0
STU_00006,Microcontroller Lab,MESL401,4,above_avg,56.6,90.9,43.6,51.4,7.39,1,1,54.9,0,1,0
STU_00006,Computer Networks Lab,CNL401,4,above_avg,62.6,86.0,72.0,65.8,7.39,1,1,54.9,1,1,0
STU_00007,Automata Theory,ITPCC509,5,below_avg,13.4,66.9,5.2,5.0,2.31,4,0,63.4,1,4,1
STU_00007,Design & Analysis of Algorithms,ITPCC501,5,below_avg,5.5,72.9,0.0,9.7,2.31,3,0,63.4,-1,4,1
STU_00007,Cloud Computing Laboratory,ITLBC506,5,below_avg,2.0,78.2,28.0,28.2,2.31,1,1,63.4,0,3,1
STU_00007,Mobile App Development Lab,ITLBC507,5,below_avg,32.0,80.9,44.4,10.5,2.31,1,1,63.4,0,3,1
STU_00008,Cryptography & Network Security,ITPCC611,6,below_avg,22.6,68.3,0.0,42.2,3.75,4,0,49.9,1,4,1
STU_00008,Cryptography Lab,ITLBC608,6,below_avg,23.8,66.0,31.2,46.2,3.75,1,1,49.9,0,4,1
STU_00008,Data Science Laboratory,ITLBC609,6,below_avg,27.3,69.4,47.5,42.0,3.75,1,1,49.9,-1,3,1
STU_00008,DevOps Laboratory,ITSBL603,6,below_avg,14.0,48.2,42.1,14.0,3.75,2,1,49.9,1,4,1
STU_00009,Automata Theory,ITPCC509,5,failing,2.0,24.7,0.0,13.2,1.77,4,0,52.4,-1,4,1
STU_00009,Design & Analysis of Algorithms,ITPCC501,5,failing,6.2,5.0,28.7,24.6,1.77,3,0,52.4,0,4,1
STU_00009,Cloud Computing Laboratory,ITLBC506,5,failing,2.0,13.0,15.8,19.0,1.77,1,1,52.4,-1,4,1
STU_00009,Mobile App Development Lab,ITLBC507,5,failing,16.6,17.4,44.2,5.0,1.77,1,1,52.4,0,4,1
STU_00010,Engineering Mathematics-III,MATH301,3,strong,54.4,92.2,63.3,67.3,7.37,4,0,55.7,1,1,0
STU_00010,Data Structures and Algorithms,DSA301,3,strong,50.0,77.4,65.6,78.7,7.37,4,0,55.7,1,2,0
STU_00010,Database Management Systems,DBMS301,3,strong,58.0,98.0,72.4,54.8,7.37,4,0,55.7,0,1,0
STU_00010,Digital Logic & Design,DLDA301,3,strong,64.8,82.3,48.9,85.0,7.37,4,0,55.7,1,1,0
STU_00010,Python Programming,PYTHON301,3,strong,73.9,80.7,92.4,38.3,7.37,2,1,55.7,0,0,0
STU_00010,DSA Laboratory,DSAL301,3,strong,85.0,96.1,90.5,55.6,7.37,1,1,55.7,0,0,0
STU_00011,Automata Theory,ITPCC509,5,failing,2.0,26.9,0.0,22.1,3.45,4,0,44.7,0,4,1
STU_00011,Design & Analysis of Algorithms,ITPCC501,5,failing,2.0,36.7,12.2,32.9,3.45,3,0,44.7,-1,4,1
STU_00011,Cloud Computing Laboratory,ITLBC506,5,failing,2.0,22.3,0.0,18.4,3.45,1,1,44.7,0,4,1
STU_00011,Mobile App Development Lab,ITLBC507,5,failing,15.1,31.8,33.1,38.7,3.45,1,1,44.7,-1,4,1
STU_00012,Engineering Mathematics-IV,MATH401,4,average,20.9,66.4,9.9,5.8,4.65,4,0,47.3,0,3,1
STU_00012,Operating Systems,OS401,4,average,28.3,58.7,17.8,42.1,4.65,4,0,47.3,0,4,1
STU_00012,Computer Networks,CN401,4,average,31.0,74.5,27.1,33.5,4.65,4,0,47.3,0,3,1
STU_00012,Software Engineering,SE401,4,average,47.9,68.1,49.1,48.4,4.65,4,0,47.3,-1,1,0
STU_00012,Microcontroller & Embedded Systems,MES401,4,average,33.6,75.9,24.6,38.3,4.65,4,0,47.3,0,3,1
STU_00012,Microcontroller Lab,MESL401,4,average,56.1,73.0,66.5,34.8,4.65,1,1,47.3,1,1,0
STU_00012,Computer Networks Lab,CNL401,4,average,38.7,68.4,48.2,68.4,4.65,1,1,47.3,1,2,0
STU_00013,Engineering Mathematics-IV,MATH401,4,average,49.7,74.6,66.1,12.8,4.62,4,0,61.0,1,2,0
STU_00013,Operating Systems,OS401,4,average,13.9,70.1,0.0,39.1,4.62,4,0,61.0,1,4,1
STU_00013,Computer Networks,CN401,4,average,49.5,83.1,69.2,35.9,4.62,4,0,61.0,0,2,1
STU_00013,Software Engineering,SE401,4,average,47.2,71.5,39.0,41.7,4.62,4,0,61.0,0,2,0
STU_00013,Microcontroller & Embedded Systems,MES401,4,average,31.2,77.7,9.3,48.1,4.62,4,0,61.0,1,3,1
STU_00013,Microcontroller Lab,MESL401,4,average,59.2,75.7,61.3,35.8,4.62,1,1,61.0,0,0,0
STU_00013,Computer Networks Lab,CNL401,4,average,50.5,73.2,70.5,49.7,4.62,1,1,61.0,-1,2,1
STU_00014,Engineering Mathematics-IV,MATH401,4,strong,63.7,89.1,47.8,77.0,8.77,4,0,59.1,0,2,0
STU_00014,Operating Systems,OS401,4,strong,67.3,92.9,58.6,62.3,8.77,4,0,59.1,1,0,0
STU_00014,Computer Networks,CN401,4,strong,63.8,85.5,95.0,76.0,8.77,4,0,59.1,0,0,0
STU_00014,Software Engineering,SE401,4,strong,66.8,89.1,72.7,54.0,8.77,4,0,59.1,0,0,0
STU_00014,Microcontroller & Embedded Systems,MES401,4,strong,65.1,77.8,63.0,77.5,8.77,4,0,59.1,1,0,0
STU_00014,Microcontroller Lab,MESL401,4,strong,97.0,98.5,100.0,77.0,8.77,1,1,59.1,0,0,0
STU_00014,Computer Networks Lab,CNL401,4,strong,84.6,88.6,100.0,75.2,8.77,1,1,59.1,1,0,0
STU_00015,Automata Theory,ITPCC509,5,average,39.6,87.7,42.2,62.4,4.93,4,0,60.6,-1,2,0
STU_00015,Design & Analysis of Algorithms,ITPCC501,5,average,51.3,57.9,64.1,49.9,4.93,3,0,60.6,0,2,0
STU_00015,Cloud Computing Laboratory,ITLBC506,5,average,79.2,87.8,74.8,56.9,4.93,1,1,60.6,0,0,0
STU_00015,Mobile App Development Lab,ITLBC507,5,average,31.0,68.2,24.7,59.9,4.93,1,1,60.6,1,2,1
STU_00016,Engineering Mathematics-III,MATH301,3,below_avg,45.9,61.2,47.7,22.7,4.4,4,0,40.4,1,2,0
STU_00016,Data Structures and Algorithms,DSA301,3,below_avg,17.9,50.4,0.0,22.6,4.4,4,0,40.4,-1,4,1
STU_00016,Database Management Systems,DBMS301,3,below_avg,2.0,67.0,0.0,24.0,4.4,4,0,40.4,1,3,1
STU_00016,Digital Logic & Design,DLDA301,3,below_avg,19.8,63.9,30.1,21.0,4.4,4,0,40.4,0,4,1
STU_00016,Python Programming,PYTHON301,3,below_avg,16.0,54.2,9.2,27.7,4.4,2,1,40.4,0,4,1
STU_00016,DSA Laboratory,DSAL301,3,below_avg,44.5,54.3,55.6,47.8,4.4,1,1,40.4,0,3,1
STU_00017,Automata Theory,ITPCC509,5,average,18.1,57.1,3.4,62.0,5.72,4,0,54.4,1,4,1
STU_00017,Design & Analysis of Algorithms,ITPCC501,5,average,48.3,55.7,35.5,65.6,5.72,3,0,54.4,1,2,1
STU_00017,Cloud Computing Laboratory,ITLBC506,5,average,59.0,81.4,66.3,58.7,5.72,1,1,54.4,1,1,0
STU_00017,Mobile App Development Lab,ITLBC507,5,average,35.5,75.8,34.3,49.7,5.72,1,1,54.4,1,2,1
STU_00018,Cryptography & Network Security,ITPCC611,6,below_avg,18.4,62.1,34.1,35.4,4.28,4,0,42.8,1,4,1
STU_00018,Cryptography Lab,ITLBC608,6,below_avg,45.0,44.5,64.1,28.3,4.28,1,1,42.8,1,3,1
STU_00018,Data Science Laboratory,ITLBC609,6,below_avg,53.3,48.1,73.2,50.2,4.28,1,1,42.8,1,2,0
STU_00018,DevOps Laboratory,ITSBL603,6,below_avg,49.4,22.6,66.0,19.5,4.28,2,1,42.8,0,3,1
STU_00019,Engineering Mathematics-IV,MATH401,4,average,50.2,76.5,17.8,40.0,6.36,4,0,63.0,0,2,0
STU_00019,Operating Systems,OS401,4,average,45.3,75.0,33.9,58.4,6.36,4,0,63.0,0,2,0
STU_00019,Computer Networks,CN401,4,average,31.1,66.0,0.0,45.8,6.36,4,0,63.0,0,4,1
STU_00019,Software Engineering,SE401,4,average,40.6,84.6,0.0,68.3,6.36,4,0,63.0,0,2,0
STU_00019,Microcontroller & Embedded Systems,MES401,4,average,57.8,89.4,30.7,48.9,6.36,4,0,63.0,0,1,0
STU_00019,Microcontroller Lab,MESL401,4,average,54.3,78.6,47.3,48.3,6.36,1,1,63.0,0,2,0
STU_00019,Computer Networks Lab,CNL401,4,average,71.5,75.8,76.8,36.4,6.36,1,1,63.0,0,0,0
STU_00020,Cryptography & Network Security,ITPCC611,6,strong,85.2,83.0,100.0,74.7,7.0,4,0,58.9,1,0,0
STU_00020,Cryptography Lab,ITLBC608,6,strong,86.6,95.6,76.6,69.3,7.0,1,1,58.9,1,0,0
STU_00020,Data Science Laboratory,ITLBC609,6,strong,59.1,100.0,68.6,65.4,7.0,1,1,58.9,0,0,0
STU_00020,DevOps Laboratory,ITSBL603,6,strong,76.2,90.4,64.3,59.5,7.0,2,1,58.9,1,0,0
STU_00021,Engineering Mathematics-III,MATH301,3,topper,100.0,100.0,100.0,67.3,10.0,4,0,47.4,0,0,0
STU_00021,Data Structures and Algorithms,DSA301,3,topper,85.9,86.9,87.6,78.6,10.0,4,0,47.4,-1,0,0
STU_00021,Database Management Systems,DBMS301,3,topper,96.0,90.1,97.6,95.3,10.0,4,0,47.4,1,0,0
STU_00021,Digital Logic & Design,DLDA301,3,topper,96.8,91.4,76.0,78.1,10.0,4,0,47.4,1,0,0
STU_00021,Python Programming,PYTHON301,3,topper,100.0,92.8,100.0,77.9,10.0,2,1,47.4,1,0,0
STU_00021,DSA Laboratory,DSAL301,3,topper,95.2,77.1,87.3,95.1,10.0,1,1,47.4,1,0,0
STU_00022,Automata Theory,ITPCC509,5,below_avg,9.4,62.8,9.6,14.8,3.52,4,0,49.8,-1,4,1
STU_00022,Design & Analysis of Algorithms,ITPCC501,5,below_avg,18.8,56.3,8.5,35.3,3.52,3,0,49.8,0,4,1
STU_00022,Cloud Computing Laboratory,ITLBC506,5,below_avg,11.1,53.7,8.9,34.3,3.52,1,1,49.8,0,4,1
STU_00022,Mobile App Development Lab,ITLBC507,5,below_avg,25.1,59.3,24.7,33.3,3.52,1,1,49.8,0,4,1
STU_00023,Engineering Mathematics-III,MATH301,3,improving,62.4,99.0,74.3,59.8,6.46,4,0,57.4,1,1,0
STU_00023,Data Structures and Algorithms,DSA301,3,improving,52.9,84.6,9.6,47.1,6.46,4,0,57.4,1,1,0
STU_00023,Database Management Systems,DBMS301,3,improving,44.6,100.0,25.4,69.2,6.46,4,0,57.4,1,2,0
STU_00023,Digital Logic & Design,DLDA301,3,improving,43.0,98.5,81.7,45.4,6.46,4,0,57.4,1,2,0
STU_00023,Python Programming,PYTHON301,3,improving,63.2,96.2,78.1,45.5,6.46,2,1,57.4,1,0,0
STU_00023,DSA Laboratory,DSAL301,3,improving,58.6,95.9,64.3,63.7,6.46,1,1,57.4,1,0,0
STU_00024,Engineering Mathematics-IV,MATH401,4,above_avg,51.7,83.0,69.1,51.8,7.17,4,0,49.8,-1,1,0
STU_00024,Operating Systems,OS401,4,above_avg,56.5,82.2,22.9,69.5,7.17,4,0,49.8,1,1,0
STU_00024,Computer Networks,CN401,4,above_avg,60.7,76.7,68.8,52.3,7.17,4,0,49.8,0,1,0
STU_00024,Software Engineering,SE401,4,above_avg,50.8,79.8,46.9,62.0,7.17,4,0,49.8,0,2,1
STU_00024,Microcontroller & Embedded Systems,MES401,4,above_avg,48.5,76.9,23.7,56.1,7.17,4,0,49.8,0,1,0
STU_00024,Microcontroller Lab,MESL401,4,above_avg,52.4,90.1,47.6,72.0,7.17,1,1,49.8,0,2,1
STU_00024,Computer Networks Lab,CNL401,4,above_avg,60.5,75.3,61.6,32.7,7.17,1,1,49.8,0,1,0
STU_00025,Engineering Mathematics-IV,MATH401,4,struggling,31.5,44.9,38.9,26.8,2.17,4,0,80.0,-1,4,1
STU_00025,Operating Systems,OS401,4,struggling,9.1,34.7,6.9,46.7,2.17,4,0,80.0,-1,4,1
STU_00025,Computer Networks,CN401,4,struggling,35.2,30.7,45.3,27.2,2.17,4,0,80.0,0,3,1
STU_00025,Software Engineering,SE401,4,struggling,8.4,31.3,0.0,41.4,2.17,4,0,80.0,-1,4,1
STU_00025,Microcontroller & Embedded Systems,MES401,4,struggling,2.0,44.0,0.0,5.0,2.17,4,0,80.0,-1,4,1
STU_00025,Microcontroller Lab,MESL401,4,struggling,17.5,30.6,19.6,14.9,2.17,1,1,80.0,-1,4,1
STU_00025,Computer Networks Lab,CNL401,4,struggling,55.3,47.9,63.5,33.1,2.17,1,1,80.0,0,2,0
STU_00026,Engineering Mathematics-IV,MATH401,4,strong,55.9,94.4,54.2,54.6,7.21,4,0,58.0,1,1,0
STU_00026,Operating Systems,OS401,4,strong,63.6,84.3,69.7,49.9,7.21,4,0,58.0,0,1,0
STU_00026,Computer Networks,CN401,4,strong,47.9,83.7,67.7,69.1,7.21,4,0,58.0,-1,2,0
STU_00026,Software Engineering,SE401,4,strong,53.3,97.2,70.1,64.9,7.21,4,0,58.0,0,2,0
STU_00026,Microcontroller & Embedded Systems,MES401,4,strong,54.7,85.0,43.7,47.1,7.21,4,0,58.0,0,2,1
STU_00026,Microcontroller Lab,MESL401,4,strong,70.7,100.0,78.6,62.2,7.21,1,1,58.0,0,0,0
STU_00026,Computer Networks Lab,CNL401,4,strong,53.7,97.2,52.0,81.4,7.21,1,1,58.0,0,1,0
STU_00027,Cryptography & Network Security,ITPCC611,6,average,17.0,68.0,0.0,51.7,3.54,4,0,53.9,0,4,1
STU_00027,Cryptography Lab,ITLBC608,6,average,36.4,59.6,44.2,53.0,3.54,1,1,53.9,0,3,1
STU_00027,Data Science Laboratory,ITLBC609,6,average,52.4,72.9,65.6,34.9,3.54,1,1,53.9,0,2,0
STU_00027,DevOps Laboratory,ITSBL603,6,average,30.8,56.2,31.3,49.9,3.54,2,1,53.9,0,3,1
STU_00028,Engineering Mathematics-IV,MATH401,4,above_avg,52.2,80.9,31.9,50.4,6.96,4,0,60.2,1,2,0
STU_00028,Operating Systems,OS401,4,above_avg,65.8,78.3,35.6,67.3,6.96,4,0,60.2,-1,0,0
STU_00028,Computer Networks,CN401,4,above_avg,48.9,82.0,46.1,77.8,6.96,4,0,60.2,0,2,0
STU_00028,Software Engineering,SE401,4,above_avg,54.5,78.6,60.2,63.4,6.96,4,0,60.2,1,1,0
STU_00028,Microcontroller & Embedded Systems,MES401,4,above_avg,44.1,73.5,40.6,43.7,6.96,4,0,60.2,0,2,0
STU_00028,Microcontroller Lab,MESL401,4,above_avg,59.2,77.5,58.0,53.7,6.96,1,1,60.2,0,1,0
STU_00028,Computer Networks Lab,CNL401,4,above_avg,61.6,69.9,85.0,83.1,6.96,1,1,60.2,0,0,0
STU_00029,Engineering Mathematics-IV,MATH401,4,average,32.3,92.9,18.2,42.5,4.63,4,0,43.4,0,3,1
STU_00029,Operating Systems,OS401,4,average,55.9,87.1,30.3,45.3,4.63,4,0,43.4,0,2,0
STU_00029,Computer Networks,CN401,4,average,49.4,75.0,55.9,53.8,4.63,4,0,43.4,0,2,0
STU_00029,Software Engineering,SE401,4,average,39.5,85.7,43.7,27.5,4.63,4,0,43.4,0,3,1
STU_00029,Microcontroller & Embedded Systems,MES401,4,average,21.7,78.7,15.4,44.5,4.63,4,0,43.4,0,4,1
STU_00029,Microcontroller Lab,MESL401,4,average,38.1,77.3,28.2,29.7,4.63,1,1,43.4,0,3,1
STU_00029,Computer Networks Lab,CNL401,4,average,22.3,91.6,38.4,44.8,4.63,1,1,43.4,0,4,1
STU_00030,Artificial Intelligence,ITPCC710,7,below_avg,41.0,55.1,47.9,38.0,4.92,4,0,56.6,-1,3,1
STU_00030,AI Laboratory,ITLBC711,7,below_avg,26.7,58.6,48.8,37.5,4.92,1,1,56.6,-1,4,1
STU_00030,Data Analytics Lab,ITLBC712,7,below_avg,51.6,42.3,47.5,37.6,4.92,1,1,56.6,-1,3,1
STU_00031,Engineering Mathematics-IV,MATH401,4,topper,89.9,100.0,87.8,62.4,8.02,4,0,66.6,0,0,0
STU_00031,Operating Systems,OS401,4,topper,82.2,91.0,79.5,45.1,8.02,4,0,66.6,0,0,0
STU_00031,Computer Networks,CN401,4,topper,69.7,93.3,90.2,73.7,8.02,4,0,66.6,0,0,0
STU_00031,Software Engineering,SE401,4,topper,79.1,89.4,100.0,82.5,8.02,4,0,66.6,-1,0,0
STU_00031,Microcontroller & Embedded Systems,MES401,4,topper,74.1,94.2,65.1,73.5,8.02,4,0,66.6,1,1,0
STU_00031,Microcontroller Lab,MESL401,4,topper,88.7,92.0,100.0,61.0,8.02,1,1,66.6,1,0,0
STU_00031,Computer Networks Lab,CNL401,4,topper,91.6,90.2,100.0,64.8,8.02,1,1,66.6,1,0,0
STU_00032,Engineering Mathematics-III,MATH301,3,average,24.9,92.0,28.1,20.2,4.64,4,0,54.8,1,4,1
STU_00032,Data Structures and Algorithms,DSA301,3,average,28.3,84.5,4.8,32.9,4.64,4,0,54.8,0,3,1
STU_00032,Database Management Systems,DBMS301,3,average,22.5,72.3,35.2,39.9,4.64,4,0,54.8,0,3,1
STU_00032,Digital Logic & Design,DLDA301,3,average,27.2,76.8,31.1,21.3,4.64,4,0,54.8,0,3,1
STU_00032,Python Programming,PYTHON301,3,average,52.7,91.6,85.0,34.7,4.64,2,1,54.8,0,2,0
STU_00032,DSA Laboratory,DSAL301,3,average,35.9,83.1,44.8,35.2,4.64,1,1,54.8,0,2,0
STU_00033,Automata Theory,ITPCC509,5,below_avg,23.8,65.2,23.7,48.0,3.63,4,0,52.3,-1,4,1
STU_00033,Design & Analysis of Algorithms,ITPCC501,5,below_avg,27.8,62.3,53.2,52.4,3.63,3,0,52.3,0,4,1
STU_00033,Cloud Computing Laboratory,ITLBC506,5,below_avg,52.1,65.1,53.0,13.2,3.63,1,1,52.3,1,1,0
STU_00033,Mobile App Development Lab,ITLBC507,5,below_avg,38.9,43.0,43.2,20.7,3.63,1,1,52.3,1,3,1
STU_00034,Automata Theory,ITPCC509,5,struggling,2.0,31.9,0.0,11.4,2.5,4,0,52.5,-1,4,1
STU_00034,Design & Analysis of Algorithms,ITPCC501,5,struggling,2.0,40.4,0.0,5.0,2.5,3,0,52.5,0,4,1
STU_00034,Cloud Computing Laboratory,ITLBC506,5,struggling,2.7,44.7,24.4,26.8,2.5,1,1,52.5,0,4,1
STU_00034,Mobile App Development Lab,ITLBC507,5,struggling,19.1,40.4,27.1,5.0,2.5,1,1,52.5,0,4,1
STU_00035,Cryptography & Network Security,ITPCC611,6,struggling,24.9,44.4,30.8,33.5,4.57,4,0,47.8,-1,4,1
STU_00035,Cryptography Lab,ITLBC608,6,struggling,26.6,45.9,27.4,37.9,4.57,1,1,47.8,0,4,1
STU_00035,Data Science Laboratory,ITLBC609,6,struggling,31.1,28.9,53.1,15.1,4.57,1,1,47.8,-1,4,1
STU_00035,DevOps Laboratory,ITSBL603,6,struggling,8.9,36.7,27.5,21.1,4.57,2,1,47.8,0,4,1
STU_00036,Engineering Mathematics-III,MATH301,3,struggling,2.2,43.2,0.0,24.4,2.21,4,0,43.4,-1,4,1
STU_00036,Data Structures and Algorithms,DSA301,3,struggling,28.7,51.6,28.6,48.1,2.21,4,0,43.4,-1,4,1
STU_00036,Database Management Systems,DBMS301,3,struggling,23.8,37.8,49.1,28.0,2.21,4,0,43.4,0,4,1
STU_00036,Digital Logic & Design,DLDA301,3,struggling,2.0,41.5,8.7,16.9,2.21,4,0,43.4,-1,4,1
STU_00036,Python Programming,PYTHON301,3,struggling,26.2,37.4,22.3,30.5,2.21,2,1,43.4,-1,4,1
STU_00036,DSA Laboratory,DSAL301,3,struggling,11.6,50.9,12.0,26.7,2.21,1,1,43.4,0,4,1
STU_00037,Cryptography & Network Security,ITPCC611,6,topper,87.4,100.0,64.6,85.7,8.32,4,0,60.2,0,0,0
STU_00037,Cryptography Lab,ITLBC608,6,topper,96.7,94.4,100.0,87.4,8.32,1,1,60.2,0,0,0
STU_00037,Data Science Laboratory,ITLBC609,6,topper,99.7,75.2,100.0,79.9,8.32,1,1,60.2,-1,0,0
STU_00037,DevOps Laboratory,ITSBL603,6,topper,98.6,92.5,100.0,82.9,8.32,2,1,60.2,-1,0,0
STU_00038,Engineering Mathematics-III,MATH301,3,strong,64.5,94.2,76.8,68.3,6.49,4,0,59.7,0,0,0
STU_00038,Data Structures and Algorithms,DSA301,3,strong,59.3,100.0,63.2,49.4,6.49,4,0,59.7,1,1,0
STU_00038,Database Management Systems,DBMS301,3,strong,60.1,100.0,54.1,55.8,6.49,4,0,59.7,0,1,0
STU_00038,Digital Logic & Design,DLDA301,3,strong,57.5,85.0,73.1,79.5,6.49,4,0,59.7,0,0,0
STU_00038,Python Programming,PYTHON301,3,strong,70.1,88.8,81.2,65.1,6.49,2,1,59.7,-1,0,0
STU_00038,DSA Laboratory,DSAL301,3,strong,70.7,88.8,100.0,54.8,6.49,1,1,59.7,0,0,0
STU_00039,Engineering Mathematics-III,MATH301,3,strong,42.3,83.4,44.8,60.1,6.54,4,0,67.5,1,2,0
STU_00039,Data Structures and Algorithms,DSA301,3,strong,45.5,71.0,52.9,69.8,6.54,4,0,67.5,1,2,1
STU_00039,Database Management Systems,DBMS301,3,strong,57.1,86.8,49.6,51.7,6.54,4,0,67.5,0,0,0
STU_00039,Digital Logic & Design,DLDA301,3,strong,62.9,68.8,39.6,51.9,6.54,4,0,67.5,0,1,0
STU_00039,Python Programming,PYTHON301,3,strong,67.1,78.8,90.0,62.5,6.54,2,1,67.5,0,0,0
STU_00039,DSA Laboratory,DSAL301,3,strong,68.3,69.2,85.1,58.5,6.54,1,1,67.5,-1,0,0
STU_00040,Automata Theory,ITPCC509,5,below_avg,2.0,48.1,0.0,37.3,3.55,4,0,65.3,0,4,1
STU_00040,Design & Analysis of Algorithms,ITPCC501,5,below_avg,7.8,56.9,9.6,32.2,3.55,3,0,65.3,1,4,1
STU_00040,Cloud Computing Laboratory,ITLBC506,5,below_avg,44.2,58.9,48.4,42.9,3.55,1,1,65.3,1,3,1
STU_00040,Mobile App Development Lab,ITLBC507,5,below_avg,34.3,62.6,51.3,46.0,3.55,1,1,65.3,0,3,1
STU_00041,Engineering Mathematics-III,MATH301,3,strong,67.9,100.0,64.5,59.5,6.53,4,0,62.6,0,0,0
STU_00041,Data Structures and Algorithms,DSA301,3,strong,61.5,100.0,58.7,59.3,6.53,4,0,62.6,1,1,0
STU_00041,Database Management Systems,DBMS301,3,strong,51.5,75.0,51.6,70.1,6.53,4,0,62.6,1,1,0
STU_00041,Digital Logic & Design,DLDA301,3,strong,73.5,89.8,71.1,51.9,6.53,4,0,62.6,0,0,0
STU_00041,Python Programming,PYTHON301,3,strong,76.0,91.5,82.6,64.0,6.53,2,1,62.6,0,0,0
