label,n_interests,n_projects,interests,subj_1_name,subj_1_score,subj_2_name,subj_2_score,subj_3_name,subj_3_score,subj_4_name,subj_4_score,subj_5_name,subj_5_score,project_skills
CCS,2,2,Web Development|Cloud & Distributed Systems,Database Management Systems,62.67489942440593,Digital Logic & Design,57.4,Data Structures and Algorithms,55.9,Computer Networks,55.5,Automata Theory,55.3,kubernetes|ci/cd|etl|aws|devops|serverless|cloud
CCS,3,3,Web Development|Cloud & Distributed Systems|Artificial Intelligence & Machine Learning,Computer Networks,46.3,Engineering Mathematics-III,46.2,Artificial Intelligence,36.1,Software Engineering,34.9,IoT,30.6,classification|ci/cd|docker|azure|serverless|fullstack|regression|cloud|terraform
CCS,2,3,Cloud & Distributed Systems|Web Development,Java,76.7,Python,70.40772873061357,Operating Systems,51.7,Artificial Intelligence,51.15541709458503,C++,49.2,node|kubernetes|docker|fullstack|data mining|azure|devops|react|cloud|terraform
CCS,4,1,Web Development|Cloud & Distributed Systems|Network & Wireless Systems|Artificial Intelligence & Machine Learning,Operating Systems,77.4,Automata Theory,68.5,Java,68.4,Engineering Mathematics-III,65.0,Cryptography & Network Security,63.1,node|kubernetes|azure|devops|react|cloud
ML,2,4,Data Science & Analytics|Artificial Intelligence & Machine Learning,Computer Networks,89.1,Database Management Systems,73.2,Software Engineering,72.6,Microcontroller & Embedded Systems,62.4,Python,62.2,numpy|classification|pytorch|pandas|tensorflow|keras|azure|neural network|python|nlp
DWM,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,IoT,48.6,Computer Networks,40.7,Data Structures and Algorithms,35.8,Engineering Mathematics-III,34.4,Python,32.1,power bi|node|mongodb|etl|sql|analytics|tableau
DWM,2,1,Data Science & Analytics|Web Development,Computer Networks,85.22884503357162,Database Management Systems,84.5,Automata Theory,77.5,Data Structures and Algorithms,75.5,Artificial Intelligence,72.2,power bi|data warehouse|mongodb|postgresql|sql
WT,3,2,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,Digital Logic & Design,44.3,Operating Systems,43.4,Automata Theory,37.6,C++,28.4,Engineering Mathematics-III,26.6,iot|embedded|esp32|arduino|wireless|raspberry pi|mqtt|tableau
ML,2,1,Data Science & Analytics|Web Development,Java,87.0,Data Structures and Algorithms,77.8,Artificial Intelligence,71.9,C++,63.8,Full Stack Development,60.0,sklearn|numpy|classification|react|deep learning|pytorch|python
ML,3,3,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development,Database Management Systems,52.26661615964616,Artificial Intelligence,43.4,Data Structures and Algorithms,38.887948325847745,Digital Logic & Design,38.4,Operating Systems,33.3,sklearn|numpy|classification|pandas|tensorflow|keras|neural network|regression|python|nlp
WT,3,2,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,IoT,93.6,Computer Networks,88.6,Python,78.3,Digital Logic & Design,74.9,Engineering Mathematics-IV,71.6,microcontroller|gpio|iot|embedded|wireless|raspberry pi|bluetooth
ML,2,2,Artificial Intelligence & Machine Learning|Web Development,Python,62.9,Microcontroller & Embedded Systems,51.9,Database Management Systems,50.2,Data Structures and Algorithms,49.0,Digital Logic & Design,42.6,pandas|tensorflow|keras|neural network|terraform
DWM,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Digital Logic & Design,72.2,Database Management Systems,63.5,IoT,58.5,Full Stack Development,51.9,Java,50.8,mongodb|postgresql|etl|data mining|pytorch|tableau
WT,2,3,Mobile & IoT Development|Network & Wireless Systems,IoT,75.5,Java,71.9,Engineering Mathematics-IV,67.6,Design & Analysis of Algorithms,65.3,Digital Logic & Design,64.4,gpio|iot|sensor|embedded|mqtt
DWM,2,0,Data Science & Analytics|Web Development,Data Structures and Algorithms,98.0,C++,92.5,Computer Networks,87.82144474604661,Design & Analysis of Algorithms,87.4,Database Management Systems,85.5,
WT,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Design & Analysis of Algorithms,45.1,Software Engineering,42.7,Engineering Mathematics-IV,39.7,Computer Networks,35.0,Data Structures and Algorithms,32.1,microcontroller|gpio|sensor|iot|embedded|esp32|sql|wireless|arduino|raspberry pi
DWM,2,2,Data Science & Analytics|Web Development,Operating Systems,48.0,Automata Theory,46.6,Design & Analysis of Algorithms,43.4,Cryptography & Network Security,40.5,Engineering Mathematics-III,39.7,power bi|gpio|mongodb|data warehouse|postgresql|etl|data mining|sql|tableau
DWM,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Engineering Mathematics-IV,53.4,Python,52.8,Computer Networks,51.4,Full Stack Development,48.3,Automata Theory,47.7,mongodb|dashboard|data warehouse|data mining|sql|mqtt|tableau
ML,2,1,Data Science & Analytics|Cloud & Distributed Systems,Cryptography & Network Security,61.3,Computer Networks,59.31806733945447,Python,52.5,Engineering Mathematics-IV,48.7,Full Stack Development,47.8,pytorch|kubernetes|pandas
DWM,3,1,Web Development|Data Science & Analytics|Mobile & IoT Development,Software Engineering,76.7,Microcontroller & Embedded Systems,73.7,Database Management Systems,67.2,Data Structures and Algorithms,64.4,Artificial Intelligence,63.36890618205978,power bi|mongodb|data warehouse|docker|data mining|analytics|tableau
DWM,2,3,Data Science & Analytics|Cloud & Distributed Systems,Software Engineering,86.4,Database Management Systems,75.4,Engineering Mathematics-IV,67.4,Full Stack Development,59.7,Data Structures and Algorithms,56.5,power bi|numpy|microcontroller|mongodb|data warehouse|postgresql|etl|sql|analytics|tableau
WT,2,3,Mobile & IoT Development|Network & Wireless Systems,Design & Analysis of Algorithms,78.6,Cryptography & Network Security,78.5,Microcontroller & Embedded Systems,72.0,Data Structures and Algorithms,68.4,Engineering Mathematics-IV,66.5,gpio|sensor|iot|embedded|raspberry pi|mqtt
CCS,3,2,Cloud & Distributed Systems|Network & Wireless Systems|Mobile & IoT Development,Engineering Mathematics-IV,70.8,Full Stack Development,60.1,Operating Systems,56.9,Automata Theory,56.1,C++,51.4,kubernetes|ci/cd|sensor|aws|devops|serverless|fullstack|cloud|terraform
WT,1,2,Mobile & IoT Development,IoT,79.4,Microcontroller & Embedded Systems,71.2,Database Management Systems,66.4,Full Stack Development,65.8,Automata Theory,63.7,microcontroller|gpio|sensor|iot|esp32|raspberry pi|mqtt
ML,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Artificial Intelligence,88.6,Software Engineering,70.4,Operating Systems,70.1,Java,65.4,Database Management Systems,64.7,neural network|tensorflow|keras|pytorch|regression|nlp
DWM,2,3,Data Science & Analytics|Cloud & Distributed Systems,C++,71.1,Automata Theory,62.4,Python,55.4,Engineering Mathematics-IV,53.9,Microcontroller & Embedded Systems,53.61437192334101,power bi|mongodb|data warehouse|postgresql|etl|data mining|devops|analytics|sql|tableau
CCS,2,3,Cloud & Distributed Systems|Web Development,Design & Analysis of Algorithms,61.7,Python,46.3,Database Management Systems,45.5,Software Engineering,44.4,Digital Logic & Design,43.3,node|ci/cd|docker|fullstack|aws|devops|serverless|wireless|react|cloud
DWM,1,1,Data Science & Analytics,Engineering Mathematics-IV,94.4,Database Management Systems,72.7,Automata Theory,72.4,Software Engineering,69.8,Cryptography & Network Security,69.8,data warehouse|dashboard|microcontroller
CCS,3,1,Cloud & Distributed Systems|Network & Wireless Systems|Artificial Intelligence & Machine Learning,Java,79.3,Design & Analysis of Algorithms,71.5,Computer Networks,58.5,C++,57.0,Engineering Mathematics-IV,56.7,kubernetes|azure|serverless|cloud|terraform|bluetooth
WT,2,3,Mobile & IoT Development|Network & Wireless Systems,Computer Networks,84.3,Engineering Mathematics-III,82.9,Digital Logic & Design,82.3,Microcontroller & Embedded Systems,77.0,IoT,77.0,microcontroller|sensor|embedded|esp32|wireless|arduino|raspberry pi|mqtt|bluetooth
ML,1,1,Data Science & Analytics,Computer Networks,97.40079026495016,Python,89.3,Operating Systems,84.0,Engineering Mathematics-III,78.2,Cryptography & Network Security,73.7,pytorch|tensorflow|keras|deep learning|neural network|regression
CCS,2,3,Web Development|Cloud & Distributed Systems,Computer Networks,40.0,Data Structures and Algorithms,18.2,Full Stack Development,17.6,Engineering Mathematics-IV,15.0,Cryptography & Network Security,13.3,kubernetes|react|docker|azure|aws|devops|serverless|fullstack|cloud
WT,2,2,Mobile & IoT Development|Network & Wireless Systems,Data Structures and Algorithms,87.5,Microcontroller & Embedded Systems,76.4,Operating Systems,72.2,Automata Theory,72.2,Full Stack Development,71.0,microcontroller|gpio|iot|sensor|embedded|esp32|wireless|arduino|mqtt
ML,4,2,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development|Network & Wireless Systems,Python,83.8,Computer Networks,81.3,Design & Analysis of Algorithms,79.3,Digital Logic & Design,74.4,Automata Theory,73.5,numpy|classification|tensorflow|keras|deep learning|pytorch|python|nlp
ML,5,1,Data Science & Analytics|Artificial Intelligence & Machine Learning|Web Development|Network & Wireless Systems|Cloud & Distributed Systems,Python,92.1,Artificial Intelligence,76.7,Cryptography & Network Security,61.6,Engineering Mathematics-III,59.1,Database Management Systems,55.5,sklearn|pytorch|pandas|deep learning|regression|mqtt|nlp
DWM,2,3,Data Science & Analytics|Artificial Intelligence & Machine Learning,Cryptography & Network Security,92.2,Engineering Mathematics-IV,81.9,Engineering Mathematics-III,72.7,C++,71.7,Computer Networks,63.9,power bi|data warehouse|mongodb|tensorflow|dashboard|postgresql|etl|data mining|sql|analytics
DWM,1,1,Data Science & Analytics,Python,100.0,Cryptography & Network Security,100.0,Operating Systems,97.2,Database Management Systems,97.0,C++,95.2,data warehouse|dashboard|tableau
CCS,1,3,Web Development,Full Stack Development,89.1,Digital Logic & Design,74.6,Computer Networks,71.9,Java,71.5,Software Engineering,71.0,node|kubernetes|gpio|ci/cd|data warehouse|docker|azure|fullstack
CCS,2,2,Web Development|Cloud & Distributed Systems,Automata Theory,53.5,Operating Systems,41.2,Computer Networks,40.6,Full Stack Development,39.9,Digital Logic & Design,38.9,node|kubernetes|docker|azure|aws|devops|serverless|cloud
DWM,3,2,Data Science & Analytics|Artificial Intelligence & Machine Learning|Cloud & Distributed Systems,Java,92.1,Engineering Mathematics-III,66.7,Engineering Mathematics-IV,66.4,Python,62.9,Data Structures and Algorithms,62.4,mongodb|dashboard|data mining|sql|analytics|tableau
WT,1,3,Network & Wireless Systems,Digital Logic & Design,65.2,Engineering Mathematics-III,63.0,Cryptography & Network Security,61.6,Python,51.8,Automata Theory,42.6,gpio|iot|embedded|aws|wireless|arduino|raspberry pi|bluetooth
CCS,2,1,Web Development|Data Science & Analytics,Data Structures and Algorithms,81.2,Computer Networks,76.6,Database Management Systems,76.2,Software Engineering,71.8,C++,66.4,azure|react
DWM,2,1,Data Science & Analytics|Cloud & Distributed Systems,Database Management Systems,82.4,Engineering Mathematics-IV,79.0,Data Structures and Algorithms,66.0,Automata Theory,64.1,C++,62.1,data warehouse|dashboard|sql
WT,2,1,Network & Wireless Systems|Mobile & IoT Development,Engineering Mathematics-IV,71.2,Digital Logic & Design,67.5,Database Management Systems,67.1,Microcontroller & Embedded Systems,65.6,Automata Theory,63.6,microcontroller|embedded|arduino|mqtt|bluetooth
DWM,2,2,Data Science & Analytics|Web Development,Design & Analysis of Algorithms,78.2,Computer Networks,78.1,Engineering Mathematics-IV,75.7,Data Structures and Algorithms,74.4,C++,74.4,kubernetes|data warehouse|dashboard|embedded|postgresql|etl|data mining|analytics|tableau
CCS,1,2,Web Development,Operating Systems,90.9,Design & Analysis of Algorithms,88.6,Data Structures and Algorithms,87.0,Full Stack Development,82.1,Software Engineering,77.8,ci/cd|docker|fullstack|aws|devops|react|raspberry pi
DWM,3,3,Data Science & Analytics|Web Development|Cloud & Distributed Systems,Software Engineering,83.7,Database Management Systems,65.3,C++,63.5,Cryptography & Network Security,62.9,Artificial Intelligence,61.9,power bi|data warehouse|dashboard|mongodb|etl|data mining|devops|analytics|tableau
WT,3,3,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Digital Logic & Design,100.0,Operating Systems,100.0,Computer Networks,100.0,Microcontroller & Embedded Systems,100.0,Design & Analysis of Algorithms,100.0,sklearn|microcontroller|tableau|gpio|iot|sensor|embedded|esp32|bluetooth
DWM,1,2,Data Science & Analytics,Engineering Mathematics-IV,100.0,Database Management Systems,100.0,Automata Theory,100.0,Artificial Intelligence,92.4,Java,92.2,mongodb|data warehouse|dashboard|etl|data mining|analytics|raspberry pi|bluetooth
DWM,1,2,Data Science & Analytics,Python,73.38489104853339,Computer Networks,69.8,Database Management Systems,66.6,Full Stack Development,66.3,Design & Analysis of Algorithms,62.6,power bi|data warehouse|postgresql|etl|sql|tableau
WT,2,2,Network & Wireless Systems|Mobile & IoT Development,Microcontroller & Embedded Systems,79.4,Full Stack Development,78.62124284885492,Computer Networks,75.48394572601131,Software Engineering,74.1,Artificial Intelligence,68.8,gpio|iot|sensor|embedded|wireless|arduino|raspberry pi|mqtt|bluetooth
CCS,2,1,Web Development|Cloud & Distributed Systems,Data Structures and Algorithms,70.4,Software Engineering,65.5,C++,59.5,Automata Theory,55.9,Python,55.305710710552745,regression|node|azure
ML,3,2,Artificial Intelligence & Machine Learning|Data Science & Analytics|Network & Wireless Systems,Software Engineering,76.8,Data Structures and Algorithms,74.5,Python,73.1,Artificial Intelligence,72.7,Engineering Mathematics-III,72.5,classification|tensorflow|pandas|deep learning|python
DWM,1,1,Data Science & Analytics,Digital Logic & Design,67.8,Database Management Systems,66.7,Design & Analysis of Algorithms,61.2,Microcontroller & Embedded Systems,59.6,Operating Systems,58.9,node|mongodb|dashboard|data warehouse|postgresql|data mining|tableau
WT,4,2,Artificial Intelligence & Machine Learning|Cloud & Distributed Systems|Network & Wireless Systems|Mobile & IoT Development,Digital Logic & Design,87.7,Data Structures and Algorithms,81.6,C++,77.0,Design & Analysis of Algorithms,75.1,IoT,72.6,microcontroller|sensor|esp32|arduino|raspberry pi|mqtt|bluetooth
CCS,2,4,Cloud & Distributed Systems|Web Development,Software Engineering,34.7,Computer Networks,27.5,Database Management Systems,25.7,Automata Theory,24.0,Data Structures and Algorithms,21.2,node|kubernetes|ci/cd|keras|etl|azure|aws|react|cloud|terraform
WT,1,2,Network & Wireless Systems,Engineering Mathematics-IV,59.1,Java,59.0,IoT,58.5,Cryptography & Network Security,57.3,Computer Networks,51.9,gpio|iot|sensor|embedded|docker|raspberry pi|mqtt
CCS,3,1,Web Development|Cloud & Distributed Systems|Network & Wireless Systems,Software Engineering,82.4,Full Stack Development,80.9,Microcontroller & Embedded Systems,80.4,Artificial Intelligence,73.6,Engineering Mathematics-IV,73.4,ci/cd|mongodb|docker|azure|devops|serverless
WT,1,0,Network & Wireless Systems,Computer Networks,100.0,IoT,93.9,Automata Theory,92.7,Operating Systems,91.3,C++,87.9,
WT,1,1,Network & Wireless Systems,Cryptography & Network Security,50.3,Database Management Systems,44.1,Microcontroller & Embedded Systems,39.8,Design & Analysis of Algorithms,34.5,Java,27.3,iot|bluetooth
WT,4,3,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems|Data Science & Analytics,Automata Theory,83.0,IoT,73.1,Microcontroller & Embedded Systems,67.6,Digital Logic & Design,67.2,Data Structures and Algorithms,66.7,microcontroller|sensor|embedded|esp32|arduino|wireless|raspberry pi|mqtt|bluetooth
DWM,2,4,Data Science & Analytics|Artificial Intelligence & Machine Learning,Data Structures and Algorithms,63.0,Java,62.1,Operating Systems,58.1,Database Management Systems,57.2,Python,55.69777844965057,kubernetes|data warehouse|dashboard|mongodb|postgresql|data mining|sql|tableau
CCS,3,0,Cloud & Distributed Systems|Web Development|Data Science & Analytics,Data Structures and Algorithms,97.9,Software Engineering,96.0,Full Stack Development,93.0,Design & Analysis of Algorithms,88.3,C++,87.7,
ML,3,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Computer Networks,88.9,Data Structures and Algorithms,81.0,Java,80.2,Engineering Mathematics-IV,79.0,Design & Analysis of Algorithms,78.6,tensorflow|classification
DWM,2,1,Data Science & Analytics|Mobile & IoT Development,Engineering Mathematics-IV,77.0,Database Management Systems,68.6,Artificial Intelligence,67.7,Software Engineering,63.8,Cryptography & Network Security,60.4,mongodb|gpio|postgresql|sql
ML,2,1,Artificial Intelligence & Machine Learning|Data Science & Analytics,C++,68.0,Artificial Intelligence,61.7,Software Engineering,60.4,Database Management Systems,58.4,Python,56.7,sklearn|neural network|regression|python|nlp
DWM,1,1,Data Science & Analytics,Engineering Mathematics-IV,64.3,Operating Systems,48.3,Java,48.2,Engineering Mathematics-III,46.0,Artificial Intelligence,43.9,dashboard|postgresql|sql|etl
DWM,2,1,Data Science & Analytics|Cloud & Distributed Systems,Cryptography & Network Security,64.5,Engineering Mathematics-III,53.7,C++,53.5,Computer Networks,53.3,Full Stack Development,51.9,power bi|dashboard|postgresql|etl|sql|tableau
ML,1,2,Artificial Intelligence & Machine Learning,Design & Analysis of Algorithms,72.5,Python,61.7,Data Structures and Algorithms,55.8,Operating Systems,49.0,Cryptography & Network Security,48.4,numpy|classification|machine learning|ci/cd|pytorch|pandas|regression|python|tableau
WT,3,3,Network & Wireless Systems|Mobile & IoT Development|Cloud & Distributed Systems,Engineering Mathematics-III,77.2,Design & Analysis of Algorithms,75.0,IoT,73.4,Artificial Intelligence,68.0042977035577,Operating Systems,60.7,microcontroller|gpio|sensor|iot|embedded|etl|esp32|arduino|wireless|raspberry pi
ML,3,2,Artificial Intelligence & Machine Learning|Data Science & Analytics|Web Development,Operating Systems,93.6,Python,86.4,Java,78.0,Database Management Systems,77.3,Microcontroller & Embedded Systems,77.1,node|numpy|pytorch|tensorflow|regression|python|nlp
ML,2,1,Artificial Intelligence & Machine Learning|Data Science & Analytics,Full Stack Development,41.6,Software Engineering,31.3,Artificial Intelligence,29.4,Python,28.0,Cryptography & Network Security,26.7,regression|pytorch|classification|keras
WT,2,1,Mobile & IoT Development|Cloud & Distributed Systems,Database Management Systems,64.4,Digital Logic & Design,58.7,Engineering Mathematics-IV,58.2,Automata Theory,58.2,Engineering Mathematics-III,57.8,microcontroller|gpio|embedded|esp32|arduino
CCS,3,1,Web Development|Cloud & Distributed Systems|Network & Wireless Systems,Database Management Systems,57.9,Full Stack Development,49.4,Automata Theory,48.9,Java,48.2,Software Engineering,46.9,kubernetes|react|docker|etl|fullstack|cloud
ML,2,2,Artificial Intelligence & Machine Learning|Cloud & Distributed Systems,Engineering Mathematics-IV,83.2,Software Engineering,74.0,Engineering Mathematics-III,64.3,Microcontroller & Embedded Systems,61.3,Python,57.4,numpy|neural network|machine learning|tensorflow|keras|sql|pytorch|regression|python
CCS,3,1,Artificial Intelligence & Machine Learning|Cloud & Distributed Systems|Data Science & Analytics,IoT,81.0,Cryptography & Network Security,73.8,Engineering Mathematics-III,72.8,Artificial Intelligence,69.9,Data Structures and Algorithms,69.3,azure|kubernetes|aws|fullstack
ML,1,1,Artificial Intelligence & Machine Learning,Artificial Intelligence,84.8,Automata Theory,81.0,Java,76.2,Engineering Mathematics-III,73.9,Software Engineering,65.2,numpy|neural network|keras|regression|nlp
ML,2,3,Data Science & Analytics|Cloud & Distributed Systems,Software Engineering,67.5,Python,66.0,Java,63.8,Automata Theory,58.7,C++,57.5,numpy|classification|machine learning|pandas|keras|analytics|deep learning|python|nlp
CCS,2,3,Cloud & Distributed Systems|Artificial Intelligence & Machine Learning,Digital Logic & Design,53.6,Full Stack Development,51.2,Artificial Intelligence,50.2,IoT,45.6,Microcontroller & Embedded Systems,42.3,node|react|ci/cd|azure|aws|devops|serverless|fullstack|cloud
CCS,2,3,Cloud & Distributed Systems|Web Development,Full Stack Development,66.9,Automata Theory,43.2,Computer Networks,42.7,IoT,40.0,Software Engineering,35.6,node|kubernetes|pandas|postgresql|azure|aws|serverless|react|cloud|terraform
ML,4,1,Artificial Intelligence & Machine Learning|Data Science & Analytics|Cloud & Distributed Systems|Network & Wireless Systems,Cryptography & Network Security,79.0,Engineering Mathematics-III,67.9,Engineering Mathematics-IV,66.4,Python,65.5,Java,57.9,numpy|machine learning|tensorflow
DWM,2,4,Data Science & Analytics|Artificial Intelligence & Machine Learning,Full Stack Development,56.6,Python,46.9,Data Structures and Algorithms,46.8,Microcontroller & Embedded Systems,43.0,Operating Systems,42.6,data warehouse|dashboard|mongodb|postgresql|etl|keras|data mining|analytics|react|sql
WT,3,1,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Operating Systems,79.1,Database Management Systems,65.7,Software Engineering,52.1,Microcontroller & Embedded Systems,52.0,Engineering Mathematics-III,50.8,microcontroller|wireless|bluetooth
DWM,2,2,Data Science & Analytics|Web Development,Artificial Intelligence,70.7,Full Stack Development,58.6,Engineering Mathematics-IV,54.5,Database Management Systems,54.4,Java,45.5,power bi|mongodb|postgresql|data mining|analytics
WT,2,2,Mobile & IoT Development|Cloud & Distributed Systems,Engineering Mathematics-III,63.3,Design & Analysis of Algorithms,52.1,Automata Theory,51.0,Data Structures and Algorithms,48.9,Computer Networks,48.8,gpio|ci/cd|sensor|esp32|bluetooth
DWM,1,3,Data Science & Analytics,Database Management Systems,76.4,Artificial Intelligence,71.51161742623717,C++,61.5,Data Structures and Algorithms,59.9,Operating Systems,58.5,power bi|data warehouse|mongodb|dashboard|postgresql|etl|sql|tableau
CCS,2,2,Web Development|Cloud & Distributed Systems,Java,77.4,Artificial Intelligence,66.1,C++,65.1,Automata Theory,63.0,Engineering Mathematics-IV,62.5,react|ci/cd|docker|aws|devops|serverless|fullstack
ML,2,4,Data Science & Analytics|Artificial Intelligence & Machine Learning,IoT,85.9,Engineering Mathematics-III,85.2,Computer Networks,84.0,Artificial Intelligence,83.7,C++,81.9,sklearn|numpy|classification|gpio|pytorch|pandas|tensorflow|keras|deep learning|neural network
ML,3,3,Artificial Intelligence & Machine Learning|Data Science & Analytics|Cloud & Distributed Systems,Full Stack Development,92.61234703892188,Python,80.8,Software Engineering,78.3,Artificial Intelligence,78.1,Engineering Mathematics-III,74.9,numpy|pytorch|tensorflow|pandas|keras|deep learning|neural network
ML,2,2,Data Science & Analytics|Cloud & Distributed Systems,Engineering Mathematics-IV,75.3,Automata Theory,75.2,C++,72.7,Full Stack Development,71.7,Software Engineering,71.2,sklearn|classification|keras|deep learning|neural network|mqtt|nlp
