student_id,archetype,semester,current_cgpa,current_sgpa,previous_sgpa,sgpa_trend,attendance,lab_performance,project_score,participation_score,extracurricular,dept_avg,num_subjects,num_backlogs,num_strong_subjects,num_weak_subjects,avg_subject_score,min_subject_score,max_subject_score,std_subject_score,practical_avg,theory_avg,credits_completed_ratio,next_sgpa
STU_00048,struggling,5,0.41,0.0,1.18,-1.18,62.7,19.6,57.7,25.0,26.5,7.21,4,4,0,4,14.0,2.0,31.8,12.0,25.0,3.0,0.5,0.0
STU_00049,struggling,3,0.0,0.0,0.0,0.0,53.6,8.6,39.6,29.8,18.7,5.6,6,6,0,6,8.3,2.0,36.5,12.7,19.2,2.9,0.25,0.0
STU_00050,below_avg,3,0.82,0.42,1.89,-1.47,48.7,50.7,31.1,23.2,16.5,7.93,6,5,0,6,22.4,7.6,44.5,11.6,34.6,16.4,0.25,0.32
STU_00051,above_avg,4,5.89,5.86,5.84,0.02,78.2,81.0,58.8,61.8,33.3,6.29,7,0,1,2,59.7,42.4,85.6,13.5,75.2,53.5,0.38,6.0
STU_00052,below_avg,3,0.85,0.32,1.05,-0.73,61.1,54.8,57.2,52.8,47.2,6.78,6,5,0,5,25.6,2.0,53.9,16.4,44.2,16.2,0.25,1.14
STU_00053,strong,5,8.57,7.67,9.27,-1.6,94.8,83.5,55.0,43.1,20.6,7.37,4,0,2,0,77.4,66.6,91.6,10.0,86.7,68.2,0.5,9.38
STU_00054,average,6,1.43,1.75,0.67,1.08,66.1,68.8,40.6,52.7,30.1,6.78,4,2,0,4,37.2,26.2,47.9,8.2,40.9,26.2,0.62,1.67
STU_00055,struggling,6,0.33,0.62,0.0,0.62,52.6,48.8,8.9,39.0,9.7,5.61,4,3,0,4,22.2,2.0,45.7,17.1,28.9,2.0,0.62,0.0
STU_00056,average,4,3.0,3.14,3.0,0.14,71.6,38.6,45.2,40.5,44.4,5.82,7,2,0,6,42.2,18.8,59.2,11.9,45.5,40.9,0.38,1.11
STU_00057,strong,3,9.21,9.11,9.89,-0.78,82.4,80.7,84.1,67.1,47.7,5.29,6,0,6,0,82.8,70.5,100.0,10.6,88.6,79.8,0.25,9.18
STU_00058,above_avg,4,7.64,6.82,8.47,-1.65,78.7,65.3,54.5,82.8,16.8,6.52,7,0,0,0,63.4,58.4,69.8,3.2,63.6,63.3,0.38,4.78
STU_00059,above_avg,4,4.85,4.23,5.0,-0.77,88.4,86.6,59.8,68.4,31.7,7.05,7,2,0,2,55.0,37.5,68.5,11.2,62.0,52.2,0.38,2.78
STU_00060,struggling,3,0.0,0.0,0.0,0.0,53.1,32.6,22.7,10.4,25.8,7.08,6,6,0,6,12.8,2.0,31.3,10.0,22.4,8.0,0.25,0.0
STU_00061,topper,4,8.35,9.23,8.0,1.23,90.5,80.6,70.0,87.6,40.5,6.45,7,0,7,0,81.4,74.8,90.1,5.3,83.2,80.6,0.38,10.0
STU_00062,improving,4,0.97,1.23,0.0,1.23,92.7,59.3,46.6,65.3,24.2,4.79,7,4,0,6,35.8,14.7,54.8,13.5,51.9,29.4,0.38,1.11
STU_00063,below_avg,3,0.8,0.63,0.74,-0.11,65.4,60.0,36.4,21.5,16.4,7.04,6,5,0,5,16.7,2.0,56.4,21.6,46.0,2.0,0.25,0.73
STU_00064,struggling,4,0.12,0.0,0.0,0.0,40.4,20.2,37.5,21.9,0.0,6.43,7,7,0,7,12.0,3.9,21.1,6.0,14.1,11.2,0.38,0.0
STU_00065,average,5,3.14,3.56,2.59,0.97,61.5,42.7,61.6,49.8,13.4,7.16,4,1,0,3,43.2,36.6,50.5,5.0,42.8,43.5,0.5,5.5
STU_00066,strong,4,8.92,8.82,9.05,-0.23,86.7,76.2,85.0,66.7,43.9,6.06,7,0,6,0,76.8,56.3,87.3,9.7,78.9,75.9,0.38,7.22
STU_00067,below_avg,5,1.34,0.0,2.73,-2.73,64.5,35.6,45.7,40.0,5.3,5.94,4,4,0,4,30.6,21.2,38.7,6.5,31.4,30.0,0.5,1.0
STU_00068,improving,5,2.54,3.67,0.18,3.49,86.1,58.3,45.7,21.5,23.8,7.83,4,1,0,3,43.4,26.6,53.2,10.2,47.0,39.9,0.5,6.38
STU_00069,struggling,4,0.38,0.0,0.0,0.0,49.3,15.7,37.1,28.3,17.4,6.7,7,7,0,7,11.8,2.0,26.0,8.8,17.4,9.5,0.38,0.0
STU_00070,below_avg,5,0.84,0.89,0.0,0.89,55.9,55.8,34.2,91.6,23.6,6.29,4,3,1,3,37.1,20.2,71.9,20.9,46.7,27.5,0.5,2.0
STU_00071,strong,4,9.0,8.91,8.53,0.38,88.9,86.3,70.5,98.1,19.5,5.38,7,0,6,0,82.6,57.2,97.1,12.5,89.4,79.9,0.38,7.22
STU_00072,average,4,3.59,2.55,4.89,-2.34,66.6,62.3,43.8,49.7,42.7,6.48,7,3,0,5,47.2,37.3,65.8,9.6,57.6,43.1,0.38,1.33
STU_00073,average,3,5.68,5.26,5.79,-0.53,71.8,50.8,45.3,59.9,21.2,7.32,6,1,0,4,49.4,32.9,68.7,12.7,38.4,54.9,0.25,4.27
STU_00074,above_avg,6,6.27,6.38,6.89,-0.51,76.5,81.2,35.1,56.7,26.0,6.46,4,0,2,1,63.3,47.3,74.8,10.7,68.7,47.3,0.62,6.17
STU_00075,struggling,3,0.0,0.0,0.0,0.0,53.9,11.5,43.3,30.7,50.3,6.27,6,6,0,6,8.5,2.0,19.4,5.9,9.3,8.2,0.25,0.0
STU_00076,below_avg,5,0.49,0.67,0.91,-0.24,60.9,44.0,18.9,66.2,4.2,6.53,4,3,0,3,19.6,2.0,55.8,22.0,37.2,2.0,0.5,0.5
STU_00077,strong,3,7.4,8.68,6.47,2.21,91.8,83.8,59.0,71.5,46.5,6.84,6,0,4,0,73.6,63.4,84.5,6.8,71.3,74.8,0.25,9.82
STU_00078,below_avg,4,0.0,0.27,0.0,0.27,71.0,42.5,26.6,42.5,32.7,4.95,7,6,0,6,14.2,2.0,50.2,15.8,32.6,6.8,0.38,0.0
STU_00079,struggling,4,0.85,0.36,0.74,-0.38,48.5,49.3,26.8,65.5,22.2,4.87,7,5,0,7,18.9,2.0,41.2,16.1,41.0,10.1,0.38,0.0
STU_00080,below_avg,5,5.03,3.44,6.59,-3.15,57.6,52.1,32.5,15.8,4.7,7.08,4,1,0,3,36.2,2.0,50.9,19.9,48.5,24.1,0.5,1.25
STU_00081,average,4,2.74,2.73,2.05,0.68,75.2,66.3,31.2,82.9,5.0,6.42,7,3,0,3,46.1,31.7,58.4,10.2,54.9,42.6,0.38,3.56
STU_00082,below_avg,4,1.83,1.18,2.53,-1.35,51.7,43.3,33.2,27.0,21.5,7.01,7,5,0,6,30.9,2.0,56.7,16.7,44.0,25.7,0.38,0.0
STU_00083,above_avg,3,5.57,5.0,6.05,-1.05,81.3,62.2,62.2,100.0,46.8,4.71,6,0,0,4,50.6,41.3,67.0,8.4,55.7,48.0,0.25,6.09
STU_00084,below_avg,6,1.51,2.0,0.78,1.22,64.3,42.6,30.6,25.7,59.7,5.07,4,2,0,3,40.1,19.7,53.1,13.0,40.7,38.2,0.62,1.33
STU_00085,above_avg,3,3.91,4.16,4.0,0.16,81.4,77.6,55.7,38.6,17.2,5.92,6,1,0,3,50.8,37.0,64.0,9.3,61.0,45.6,0.25,6.0
STU_00086,struggling,7,0.23,0.67,0.0,0.67,35.1,27.6,15.5,29.0,0.0,6.88,3,2,0,3,25.9,17.5,41.8,11.2,29.6,18.4,0.75,0.0
STU_00087,below_avg,6,0.26,0.5,0.0,0.5,68.2,32.3,42.7,8.4,39.7,6.61,4,3,0,4,35.4,28.5,40.2,4.4,37.7,28.5,0.62,1.17
STU_00088,failing,7,0.05,0.0,0.0,0.0,15.5,32.5,0.0,21.7,10.3,5.39,3,3,0,3,15.6,5.6,28.0,9.3,20.6,5.6,0.75,0.0
STU_00089,below_avg,3,0.88,0.63,1.68,-1.05,42.9,37.0,32.9,66.4,0.0,7.0,6,5,0,5,26.7,7.7,56.3,14.9,42.4,18.9,0.25,0.0
STU_00090,average,6,5.42,5.62,5.0,0.62,66.4,63.2,48.1,57.8,33.9,4.87,4,0,0,1,57.2,48.2,64.3,5.8,60.3,48.2,0.62,7.5
STU_00091,topper,7,9.81,10.0,9.0,1.0,94.8,92.1,57.9,91.1,42.3,6.47,3,0,3,0,82.9,80.9,86.6,2.6,83.8,80.9,0.75,10.0
STU_00092,above_avg,7,4.78,6.17,2.5,3.67,66.5,57.8,54.9,39.2,35.9,4.39,3,0,0,0,55.1,50.2,61.5,4.7,57.5,50.2,0.75,7.33
STU_00093,topper,3,8.57,9.11,7.84,1.27,91.4,99.9,81.4,65.8,46.8,5.32,6,0,6,0,81.5,73.9,90.7,6.1,85.2,79.6,0.25,9.82
STU_00094,strong,7,7.52,7.0,7.25,-0.25,92.0,77.0,43.0,71.5,41.9,5.94,3,0,0,0,62.8,61.1,65.3,1.8,63.6,61.1,0.75,7.17
STU_00095,average,6,1.37,0.5,1.22,-0.72,64.7,55.7,32.3,59.6,46.5,4.55,4,3,0,4,34.8,27.7,41.3,5.4,35.8,31.8,0.62,0.67
STU_00096,below_avg,5,0.49,0.0,0.0,0.0,68.0,20.6,53.6,63.2,37.6,6.78,4,4,0,4,22.8,12.6,27.3,5.9,26.6,18.9,0.5,0.75
STU_00097,topper,5,8.74,10.0,7.73,2.27,87.8,86.4,51.8,69.2,19.6,6.44,4,0,4,0,83.5,80.4,88.6,3.3,82.2,84.8,0.5,10.0
STU_00098,below_avg,7,0.0,0.0,0.0,0.0,61.5,27.6,32.2,18.1,22.4,6.49,3,3,0,3,19.6,6.2,30.1,10.0,26.4,6.2,0.75,0.0
STU_00099,average,4,4.42,4.23,5.0,-0.77,72.3,47.0,57.5,44.7,30.7,6.55,7,1,1,5,51.3,39.5,72.8,12.0,61.1,47.4,0.38,6.0
STU_00100,average,6,1.97,2.0,0.67,1.33,79.2,32.5,29.4,39.9,58.0,6.46,4,3,0,4,33.2,20.1,41.5,7.9,30.4,41.5,0.62,2.0
STU_00101,topper,4,9.05,8.73,9.16,-0.43,94.4,100.0,81.6,65.1,21.1,7.47,7,0,6,0,79.2,69.7,90.3,8.1,87.0,76.0,0.38,10.0
STU_00102,below_avg,6,0.97,2.0,0.0,2.0,53.4,26.6,62.4,43.2,28.9,6.75,4,1,0,4,37.2,25.8,41.4,6.6,41.1,25.8,0.62,1.0
STU_00103,below_avg,5,0.25,0.0,0.91,-0.91,64.7,45.8,36.2,39.3,17.9,6.31,4,4,0,4,30.1,10.0,39.4,11.7,35.5,24.7,0.5,0.5
STU_00104,below_avg,3,0.93,1.47,0.63,0.84,52.4,48.5,51.9,29.8,27.1,6.52,6,4,0,5,32.0,21.6,50.1,11.3,36.1,30.0,0.25,1.14
STU_00105,below_avg,3,0.29,0.26,0.26,0.0,52.2,49.1,39.2,37.6,0.0,6.26,6,5,0,6,20.8,2.0,45.8,15.5,28.3,17.1,0.25,0.5
STU_00106,below_avg,5,0.82,0.0,0.95,-0.95,72.4,19.6,53.2,41.6,59.2,6.1,4,4,0,4,12.0,2.0,20.4,7.8,12.8,11.2,0.5,0.0
STU_00107,topper,5,8.15,7.56,8.36,-0.8,99.7,100.0,81.0,52.2,41.3,5.5,4,0,2,0,75.5,64.4,93.2,11.5,85.6,65.3,0.5,8.5
STU_00108,average,7,2.43,0.0,4.5,-4.5,67.5,54.1,50.5,34.6,21.7,6.57,3,3,0,3,28.3,19.6,39.2,8.2,29.4,26.1,0.75,1.0
STU_00109,average,4,2.98,3.45,2.74,0.71,77.5,58.1,61.7,24.9,36.1,6.65,7,2,0,4,45.1,22.8,56.6,11.6,54.5,41.4,0.38,2.89
STU_00110,struggling,3,0.01,0.0,0.0,0.0,44.4,5.8,26.7,17.8,3.5,7.02,6,6,0,6,5.5,2.0,13.7,5.1,6.8,4.9,0.25,0.0
STU_00111,average,3,4.73,3.53,5.21,-1.68,78.6,64.3,62.7,41.7,41.5,4.72,6,2,1,4,49.5,35.7,75.1,13.3,61.5,43.5,0.25,1.05
STU_00112,above_avg,5,6.08,6.44,5.86,0.58,80.1,79.4,55.4,72.8,49.0,7.61,4,0,1,1,61.6,46.2,74.6,10.1,68.8,54.4,0.5,7.38
STU_00113,below_avg,4,0.0,1.09,0.0,1.09,54.4,48.7,32.4,24.2,15.7,6.13,7,5,0,7,30.3,11.9,46.8,10.8,34.3,28.7,0.38,0.44
STU_00114,above_avg,4,6.07,6.77,5.42,1.35,76.2,91.2,62.5,57.4,49.2,5.05,7,0,2,1,66.1,48.6,89.6,12.1,78.5,61.1,0.38,5.67
STU_00115,average,3,1.03,0.42,1.32,-0.9,66.1,55.9,46.2,35.2,19.6,5.08,6,5,1,5,35.1,20.5,71.0,16.6,49.0,28.1,0.25,0.73
STU_00116,struggling,3,0.43,0.0,0.53,-0.53,44.1,26.1,16.9,27.5,0.0,5.35,6,6,0,6,6.6,2.0,29.7,10.3,15.8,2.0,0.25,0.18
STU_00117,average,3,1.06,1.26,1.32,-0.06,59.4,64.2,52.8,48.6,42.2,6.16,6,4,1,5,38.8,12.5,87.0,23.3,64.2,26.1,0.25,0.23
STU_00118,average,7,2.72,3.5,2.25,1.25,82.3,61.7,58.0,44.3,17.7,7.69,3,1,0,3,42.0,35.1,49.0,5.7,42.0,41.9,0.75,1.33
STU_00119,topper,5,9.65,10.0,9.45,0.55,95.1,93.9,82.4,50.8,31.8,6.56,4,0,4,0,81.7,80.2,83.4,1.1,82.4,81.1,0.5,10.0
STU_00120,average,5,1.68,1.0,2.45,-1.45,63.6,40.1,43.9,28.6,89.1,5.25,4,2,0,4,39.3,25.8,49.7,8.7,46.4,32.1,0.5,5.25
STU_00121,inconsistent,3,2.4,4.11,0.95,3.16,85.7,54.1,80.6,52.3,19.0,7.17,6,1,0,4,47.4,25.0,67.6,14.8,54.0,44.1,0.25,5.82
STU_00122,average,6,0.97,2.75,0.0,2.75,73.2,72.9,69.5,34.0,0.9,5.37,4,1,0,3,44.7,30.3,56.2,9.3,49.5,30.3,0.62,5.33
STU_00123,strong,7,8.64,9.33,7.62,1.71,90.4,91.4,80.2,60.8,67.0,5.68,3,0,3,0,89.6,77.7,100.0,9.2,95.5,77.7,0.75,7.83
STU_00124,strong,4,7.11,7.5,7.53,-0.03,90.1,90.7,61.2,50.3,23.4,6.07,7,0,3,0,67.2,51.8,81.5,11.8,75.1,64.0,0.38,9.78
STU_00125,above_avg,7,5.86,6.0,6.5,-0.5,80.9,81.0,46.7,76.2,55.2,5.73,3,0,0,0,57.0,56.2,57.5,0.6,56.9,57.3,0.75,1.83
STU_00126,topper,3,9.23,9.58,9.16,0.42,96.0,96.6,89.4,76.5,16.6,6.38,6,0,6,0,85.4,74.7,99.3,7.7,93.8,81.3,0.25,10.0
STU_00127,struggling,4,0.0,0.18,0.0,0.18,43.0,13.8,46.8,43.5,15.3,5.88,7,6,0,7,17.6,2.0,41.8,13.3,30.9,12.3,0.38,0.0
STU_00128,topper,3,9.34,8.63,9.58,-0.95,86.5,86.5,84.7,69.7,56.9,4.82,6,0,4,0,77.0,65.1,86.0,7.4,83.0,74.0,0.25,9.09
STU_00129,average,3,2.45,3.42,1.68,1.74,70.0,53.7,52.6,57.8,44.4,5.84,6,2,0,4,45.3,21.3,65.6,15.5,53.5,41.1,0.25,1.64
STU_00130,below_avg,7,0.0,0.67,0.0,0.67,55.6,39.0,41.4,45.6,24.5,7.45,3,2,0,3,30.2,23.5,42.9,9.0,33.2,24.2,0.75,1.0
STU_00131,strong,3,6.27,6.16,7.0,-0.84,81.7,91.9,60.6,25.5,24.7,6.49,6,0,1,1,59.3,45.9,79.8,10.8,67.2,55.4,0.25,6.36
STU_00132,above_avg,4,3.48,3.23,3.79,-0.56,80.6,57.2,47.8,31.8,62.7,6.54,7,2,0,5,44.0,27.2,55.9,9.4,49.9,41.7,0.38,5.0
STU_00133,failing,4,0.0,0.0,0.0,0.0,33.9,8.5,0.0,12.1,1.5,6.23,7,7,0,7,2.1,2.0,2.6,0.2,2.0,2.1,0.38,0.0
STU_00134,below_avg,4,1.21,1.64,1.68,-0.04,63.3,25.0,54.9,23.1,47.8,6.17,7,5,0,7,30.0,4.6,45.2,13.5,25.8,31.7,0.38,1.56
STU_00135,strong,4,8.69,7.36,9.58,-2.22,86.8,69.1,53.0,42.2,37.8,5.67,7,0,3,0,66.8,54.3,81.0,9.0,66.3,67.0,0.38,6.56
STU_00136,topper,4,9.52,9.95,9.58,0.37,91.8,100.0,92.0,92.5,62.2,5.99,7,0,7,0,88.2,79.8,94.7,5.6,87.2,88.6,0.38,10.0
STU_00137,below_avg,5,2.01,3.33,0.32,3.01,61.7,50.2,39.3,52.2,23.5,7.91,4,1,0,1,43.7,7.5,57.4,20.9,55.8,31.6,0.5,2.5
STU_00138,strong,3,7.52,7.26,7.42,-0.16,91.0,71.2,59.5,41.9,3.3,7.35,6,0,2,0,71.5,66.0,86.2,6.9,79.7,67.5,0.25,7.55
STU_00139,below_avg,5,1.05,1.78,0.18,1.6,69.2,25.8,31.3,39.9,6.8,4.87,4,3,0,4,18.7,2.7,41.2,14.0,15.4,22.0,0.5,1.0
STU_00140,below_avg,6,0.09,0.0,0.56,-0.56,63.2,27.6,39.1,33.8,17.4,4.86,4,4,0,4,20.2,10.4,26.5,6.0,23.5,10.4,0.62,0.0
STU_00141,above_avg,6,3.99,3.62,3.78,-0.16,81.2,68.6,69.3,40.8,75.1,6.37,4,1,2,1,60.2,33.1,77.3,16.9,69.3,33.1,0.62,8.0
STU_00142,topper,3,8.3,8.42,7.89,0.53,93.3,98.8,57.8,96.1,19.8,5.76,6,0,4,0,75.5,66.2,84.5,6.7,79.8,73.3,0.25,7.32
STU_00143,above_avg,6,3.66,5.0,1.33,3.67,89.3,81.5,53.0,86.9,41.8,5.19,4,0,0,2,54.2,44.1,66.9,9.4,57.5,44.1,0.62,8.0
STU_00144,struggling,7,0.04,0.0,0.62,-0.62,41.8,13.0,43.7,26.9,0.0,6.63,3,3,0,3,17.5,14.4,22.6,3.6,19.1,14.4,0.75,0.0
STU_00145,above_avg,5,4.51,5.67,3.5,2.17,70.0,54.5,75.8,52.0,52.6,7.34,4,0,0,1,55.3,49.3,61.3,4.8,60.0,50.6,0.5,6.12
STU_00146,average,7,3.68,1.83,5.0,-3.17,69.1,46.3,51.4,58.8,53.1,5.65,3,1,0,2,45.5,34.3,55.7,8.8,51.2,34.3,0.75,1.83
STU_00147,above_avg,6,7.07,6.38,5.89,0.49,80.7,65.0,36.3,47.0,34.3,7.09,4,0,1,1,59.3,45.8,78.5,12.5,63.9,45.8,0.62,4.83
