label,n_interests,n_projects,interests,subj_1_name,subj_1_score,subj_2_name,subj_2_score,subj_3_name,subj_3_score,subj_4_name,subj_4_score,subj_5_name,subj_5_score,project_skills
DBM,3,3,Data Science & Analytics|Web Development|Mobile & IoT Development,Java,70.1,Engineering Mathematics-IV,69.56831043930259,Full Stack Development,63.4,Operating Systems,61.6,Software Engineering,57.7,ecommerce|digital marketing|dashboard|agile|crm|analytics|seo|web
DBM,3,1,Data Science & Analytics|Web Development|Cloud & Distributed Systems,Full Stack Development,78.4,Automata Theory,71.3,C++,69.7,IoT,63.4,Engineering Mathematics-IV,60.5,kpi|web
RE,1,4,Network & Wireless Systems,C++,72.6,Software Engineering,70.1,Data Structures and Algorithms,62.7,Engineering Mathematics-III,62.6,Cryptography & Network Security,61.0,weibull|fault tree|statistics|quality|simulation|fmea|renewable|probability|risk|reliability
OR,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Data Structures and Algorithms,72.3,Engineering Mathematics-III,64.7938688813325,Engineering Mathematics-IV,55.875088822849975,Artificial Intelligence,50.9,Full Stack Development,47.8,simplex|simulation|security|queuing|optimization
CSL,1,1,Network & Wireless Systems,Cryptography & Network Security,75.2,Operating Systems,70.8,Engineering Mathematics-IV,68.9,Computer Networks,67.8,Database Management Systems,62.3,authentication|phishing|cyber|firewall|forensics
DBM,1,2,Web Development,Computer Networks,87.6,Full Stack Development,86.5,Artificial Intelligence,84.6,Design & Analysis of Algorithms,83.5,Database Management Systems,83.0,digital marketing|dashboard|agile|react|seo|web
EAM,2,0,Mobile & IoT Development|Network & Wireless Systems,Microcontroller & Embedded Systems,84.3,Operating Systems,84.1,IoT,82.9,Database Management Systems,67.4,Cryptography & Network Security,65.6,
RE,2,2,Network & Wireless Systems|Cloud & Distributed Systems,Engineering Mathematics-III,100.0,Digital Logic & Design,100.0,Computer Networks,100.0,Software Engineering,100.0,Database Management Systems,98.9,supply chain|encryption|statistics|quality|simulation|testing|fmea|probability|reliability
EAM,1,3,Mobile & IoT Development,Computer Networks,40.1,Python,36.3,Software Engineering,28.7,Java,26.6,Microcontroller & Embedded Systems,25.0,audit|solar|monitoring|power|scheduling|sensor|efficiency|hvac
DBM,2,3,Web Development|Data Science & Analytics,Engineering Mathematics-IV,72.5,Automata Theory,70.1,Operating Systems,69.7,Artificial Intelligence,69.0,Java,67.2,ecommerce|dashboard|agile|queuing|crm|analytics|react|seo
EAM,2,2,Mobile & IoT Development|Network & Wireless Systems,IoT,79.3,Digital Logic & Design,77.4,Operating Systems,77.3,Database Management Systems,73.2,Cryptography & Network Security,72.1,audit|solar|monitoring|power|efficiency|renewable|energy
EAM,1,1,Mobile & IoT Development,Design & Analysis of Algorithms,67.5,Engineering Mathematics-III,66.9,Software Engineering,60.8,Database Management Systems,59.8,Automata Theory,59.5,phishing|sensor|audit|energy
RE,3,1,Network & Wireless Systems|Cloud & Distributed Systems|Data Science & Analytics,Engineering Mathematics-III,56.023403987989305,Computer Networks,53.9,Database Management Systems,52.6,Engineering Mathematics-IV,51.393487697249384,Cryptography & Network Security,51.0,monitoring|statistics|simulation|fmea|testing|risk
CSL,1,0,Network & Wireless Systems,Software Engineering,89.59094585113903,Computer Networks,76.2,Operating Systems,72.9,Cryptography & Network Security,68.7,Design & Analysis of Algorithms,64.6,
RE,1,3,Network & Wireless Systems,Java,53.7,Engineering Mathematics-III,52.0,Microcontroller & Embedded Systems,51.0,Operating Systems,49.3,C++,48.4,weibull|fault tree|statistics|quality|security|cyber|testing|probability|risk|encryption
DBM,1,4,Web Development,Artificial Intelligence,100.0,IoT,91.0,C++,85.6,Full Stack Development,83.4,Computer Networks,82.9,ecommerce|digital marketing|dashboard|agile|crm|analytics|react|seo|forensics|web
CSL,2,0,Network & Wireless Systems|Web Development,Engineering Mathematics-IV,68.5,IoT,64.4,Software Engineering,63.1,Digital Logic & Design,58.5,Java,56.3,
DBM,3,1,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Engineering Mathematics-IV,65.7,Computer Networks,61.8,Full Stack Development,61.0,Python,60.0,IoT,58.2,web|digital marketing|kpi|react
CSL,1,1,Network & Wireless Systems,Digital Logic & Design,81.2,Data Structures and Algorithms,75.4,Computer Networks,74.5,Automata Theory,74.0,Engineering Mathematics-IV,68.6,vulnerability|cyber|firewall|forensics|encryption
DBM,1,2,Data Science & Analytics,Database Management Systems,82.7,Software Engineering,68.4,Engineering Mathematics-IV,68.3,IoT,66.3,Java,63.9,kpi|ecommerce|digital marketing|dashboard|agile|crm|analytics|react|seo|web
OR,2,2,Data Science & Analytics|Artificial Intelligence & Machine Learning,Microcontroller & Embedded Systems,86.5,Artificial Intelligence,86.4,Digital Logic & Design,85.5,Engineering Mathematics-III,84.5,Java,81.9,simplex|supply chain|scheduling|linear programming|queuing|optimization
DBM,3,4,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Software Engineering,100.0,Python,97.9,Operating Systems,89.2,C++,87.8,Full Stack Development,87.7,kpi|ecommerce|digital marketing|dashboard|agile|crm|analytics|react|web
EAM,1,2,Mobile & IoT Development,Engineering Mathematics-III,86.6,Cryptography & Network Security,83.28930744222278,Computer Networks,73.145693617792,IoT,69.2,Database Management Systems,65.9,audit|solar|monitoring|power|sensor|efficiency|hvac
RE,2,2,Network & Wireless Systems|Cloud & Distributed Systems,Cryptography & Network Security,98.9,Python,94.0,Design & Analysis of Algorithms,90.9,Computer Networks,88.6,Engineering Mathematics-III,88.2,weibull|fault tree|quality|simulation|efficiency|fmea|probability|risk|reliability
EAM,2,4,Mobile & IoT Development|Network & Wireless Systems,Digital Logic & Design,91.6,C++,86.6,Operating Systems,84.6,IoT,82.7,Cryptography & Network Security,81.1,audit|solar|monitoring|power|scheduling|sensor|iot|efficiency|hvac|energy
OR,1,3,Data Science & Analytics,Engineering Mathematics-III,55.2,Engineering Mathematics-IV,43.9,Digital Logic & Design,34.4,Software Engineering,34.2,Automata Theory,34.2,supply chain|sensor|simulation|linear programming|queuing|inventory|optimization|scipy
CSL,1,2,Network & Wireless Systems,Database Management Systems,35.0,Data Structures and Algorithms,34.9,Java,30.6,Full Stack Development,29.9,Computer Networks,25.3,vulnerability|digital marketing|authentication|security|network security|forensics
CSL,1,3,Network & Wireless Systems,Microcontroller & Embedded Systems,93.9193108694946,Cryptography & Network Security,90.1,IoT,89.9136319184892,Python,89.3,Computer Networks,79.9,vulnerability|network security|digital marketing|authentication|phishing|security|cyber|firewall|probability
CSL,1,3,Network & Wireless Systems,Cryptography & Network Security,73.2,Operating Systems,72.6,Design & Analysis of Algorithms,68.0,Engineering Mathematics-IV,66.2,IoT,64.2,vulnerability|solar|authentication|dashboard|simulation|phishing|security|firewall|network security|forensics
OR,1,2,Data Science & Analytics,Design & Analysis of Algorithms,87.9,Computer Networks,79.6,Database Management Systems,76.2,Engineering Mathematics-IV,69.1,C++,68.3,supply chain|scheduling|simulation|hvac|queuing|inventory|optimization|scipy
RE,1,1,Network & Wireless Systems,Java,87.4,Software Engineering,83.9,Computer Networks,79.0,Database Management Systems,78.3,Engineering Mathematics-IV,75.3,simulation|reliability
CSL,2,0,Network & Wireless Systems|Web Development,Design & Analysis of Algorithms,71.1,Artificial Intelligence,64.7,Digital Logic & Design,58.1,IoT,55.7,Data Structures and Algorithms,53.8,
DBM,2,2,Data Science & Analytics|Web Development,Engineering Mathematics-III,79.8,Engineering Mathematics-IV,67.4,Cryptography & Network Security,62.1,Design & Analysis of Algorithms,61.5,Java,61.0,kpi|ecommerce|digital marketing|agile|analytics
DBM,3,1,Web Development|Cloud & Distributed Systems|Mobile & IoT Development,Computer Networks,70.9,Full Stack Development,66.8,Python,64.4,IoT,61.0,C++,57.1,ecommerce|crm|digital marketing
OR,1,2,Data Science & Analytics,C++,67.2,Engineering Mathematics-IV,55.2,Python,50.0,Microcontroller & Embedded Systems,48.1,Digital Logic & Design,47.6,supply chain|simplex|scheduling|simulation|agile|linear programming|inventory|optimization|scipy
CSL,2,3,Network & Wireless Systems|Web Development,Cryptography & Network Security,68.0,Database Management Systems,61.2,C++,58.5,Design & Analysis of Algorithms,58.1,Operating Systems,57.2,vulnerability|authentication|phishing|security|cyber|forensics|encryption
OR,1,2,Data Science & Analytics,Data Structures and Algorithms,60.8,Design & Analysis of Algorithms,59.8,Cryptography & Network Security,58.6,Database Management Systems,57.6,Automata Theory,52.0,simplex|scipy|simulation|inventory
EAM,1,1,Mobile & IoT Development,Database Management Systems,82.9,IoT,79.9,Microcontroller & Embedded Systems,69.5,Digital Logic & Design,68.3,Engineering Mathematics-IV,66.4,monitoring|power|iot|efficiency|renewable|energy
RE,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Engineering Mathematics-III,70.7,IoT,63.6,Database Management Systems,58.9,Microcontroller & Embedded Systems,58.9,Cryptography & Network Security,58.4,statistics|risk|phishing|fault tree
DBM,2,0,Data Science & Analytics|Web Development,Database Management Systems,89.8,Design & Analysis of Algorithms,87.9,Operating Systems,81.8,Artificial Intelligence,79.6,Java,79.2,
RE,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Engineering Mathematics-IV,50.9128779707873,Microcontroller & Embedded Systems,44.4,Cryptography & Network Security,43.4,Operating Systems,42.2,Data Structures and Algorithms,39.2,statistics|fmea|probability
CSL,1,1,Network & Wireless Systems,Full Stack Development,84.5,Computer Networks,78.8,Java,76.6,Artificial Intelligence,76.0,Engineering Mathematics-IV,71.1,vulnerability|encryption
DBM,2,0,Data Science & Analytics|Web Development,Automata Theory,84.2,Design & Analysis of Algorithms,75.3,Database Management Systems,72.7,Operating Systems,70.5,Engineering Mathematics-IV,64.2,
DBM,3,4,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Operating Systems,81.1,Engineering Mathematics-IV,73.05577801433263,Computer Networks,72.2,Python,71.5,IoT,71.5,kpi|ecommerce|digital marketing|agile|queuing|crm|analytics|react|seo|forensics
CSL,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Digital Logic & Design,73.5,Data Structures and Algorithms,69.2,Full Stack Development,66.1,Microcontroller & Embedded Systems,64.7,Software Engineering,58.3,digital marketing|phishing|firewall|network security|forensics|encryption
DBM,2,2,Web Development|Data Science & Analytics,Full Stack Development,73.5,Engineering Mathematics-III,62.381075160848376,Computer Networks,58.2,Software Engineering,57.0,Microcontroller & Embedded Systems,56.0,ecommerce|digital marketing|dashboard|agile|seo|web
RE,1,3,Network & Wireless Systems,Artificial Intelligence,61.4,Engineering Mathematics-IV,56.0,Computer Networks,53.7,Operating Systems,53.0,Database Management Systems,51.9,weibull|fault tree|statistics|quality|fmea|testing|probability|risk|reliability
OR,1,2,Data Science & Analytics,Engineering Mathematics-III,90.28885479441607,Database Management Systems,86.2,Software Engineering,86.0,Artificial Intelligence,81.1,Engineering Mathematics-IV,80.96951524326687,simplex|supply chain|scheduling|simulation|inventory
EAM,3,4,Mobile & IoT Development|Network & Wireless Systems|Cloud & Distributed Systems,Java,64.4,Digital Logic & Design,64.0,Engineering Mathematics-III,59.3,IoT,56.0,Operating Systems,44.5,audit|solar|monitoring|power|iot|sensor|hvac|renewable|energy
CSL,1,1,Network & Wireless Systems,Data Structures and Algorithms,60.4,Artificial Intelligence,58.7,Cryptography & Network Security,58.0,Computer Networks,56.0,Full Stack Development,53.5,vulnerability|security|cyber|forensics|encryption
CSL,1,2,Network & Wireless Systems,Engineering Mathematics-IV,100.0,Database Management Systems,100.0,Operating Systems,100.0,Java,100.0,Cryptography & Network Security,100.0,vulnerability|authentication|security|cyber|firewall|network security|encryption
RE,1,3,Network & Wireless Systems,Operating Systems,94.4,Engineering Mathematics-III,92.8,Engineering Mathematics-IV,91.3,Digital Logic & Design,90.8,Software Engineering,90.3,weibull|fault tree|statistics|security|fmea|testing|probability|risk|reliability
OR,2,1,Data Science & Analytics|Web Development,Engineering Mathematics-III,87.2,Engineering Mathematics-IV,76.9,Digital Logic & Design,74.4,Microcontroller & Embedded Systems,70.0,Design & Analysis of Algorithms,68.5,simplex|risk|inventory|optimization
OR,2,3,Data Science & Analytics|Artificial Intelligence & Machine Learning,Design & Analysis of Algorithms,49.7,Artificial Intelligence,43.0,Data Structures and Algorithms,41.4,Digital Logic & Design,39.4,Cryptography & Network Security,37.6,simplex|supply chain|simulation|linear programming|queuing|inventory|scipy
CSL,1,2,Network & Wireless Systems,Operating Systems,85.9,Cryptography & Network Security,75.3,Engineering Mathematics-III,74.2,Engineering Mathematics-IV,72.5,IoT,69.5,vulnerability|ecommerce|authentication|phishing|security|network security|forensics
OR,1,2,Data Science & Analytics,Design & Analysis of Algorithms,100.0,Microcontroller & Embedded Systems,82.22555802278919,Operating Systems,81.5,IoT,80.88509917631079,Cryptography & Network Security,80.8,supply chain|scheduling|authentication|linear programming|simulation|queuing|inventory|scipy
RE,3,2,Network & Wireless Systems|Cloud & Distributed Systems|Data Science & Analytics,Design & Analysis of Algorithms,39.9,Python,36.5,Database Management Systems,36.4,Operating Systems,33.3,Engineering Mathematics-IV,25.7,weibull|power|quality|testing|fmea|probability|risk
CSL,1,2,Network & Wireless Systems,Cryptography & Network Security,89.5,Database Management Systems,87.2,Computer Networks,82.7,Automata Theory,82.6,C++,80.5,vulnerability|phishing|cyber|firewall|network security|forensics|encryption
CSL,1,2,Network & Wireless Systems,Cryptography & Network Security,100.0,Design & Analysis of Algorithms,92.1,Computer Networks,91.3,Automata Theory,86.9,Java,86.4,authentication|phishing|security|firewall|network security|forensics|encryption
DBM,1,1,Web Development,Automata Theory,75.1,Cryptography & Network Security,74.9,Design & Analysis of Algorithms,70.4,Engineering Mathematics-IV,69.25474583342692,Artificial Intelligence,66.6,seo|web
EAM,1,2,Mobile & IoT Development,Database Management Systems,64.7,Engineering Mathematics-III,61.5,Operating Systems,58.6,Python,57.5,Computer Networks,56.9,solar|monitoring|power|sensor|iot|security|optimization|energy
DBM,2,2,Data Science & Analytics|Web Development,Python,68.8,Computer Networks,59.7,Database Management Systems,57.7,C++,57.1,Engineering Mathematics-IV,56.7,ecommerce|digital marketing|dashboard|crm|analytics|react|reliability
RE,1,2,Network & Wireless Systems,Design & Analysis of Algorithms,87.6,Data Structures and Algorithms,79.0,Automata Theory,71.1,IoT,68.7,Java,68.1,weibull|kpi|statistics|quality|authentication|simulation|probability|risk|reliability
EAM,1,4,Mobile & IoT Development,Python,53.2,Java,52.4,Operating Systems,49.8,Engineering Mathematics-IV,46.1,Microcontroller & Embedded Systems,44.5,audit|solar|monitoring|power|statistics|iot|sensor|security|efficiency|hvac
EAM,2,3,Mobile & IoT Development|Network & Wireless Systems,Engineering Mathematics-III,88.7,IoT,88.0,Python,84.7,Software Engineering,81.3,Java,68.2,solar|monitoring|power|iot|efficiency|hvac|renewable|network security|energy
DBM,2,4,Data Science & Analytics|Web Development,Software Engineering,81.7,Full Stack Development,78.5,Microcontroller & Embedded Systems,71.3,Engineering Mathematics-III,70.4,IoT,68.6,audit|supply chain|kpi|ecommerce|digital marketing|scheduling|dashboard|agile|crm|analytics
DBM,2,3,Web Development|Data Science & Analytics,Engineering Mathematics-III,100.0,Full Stack Development,100.0,Engineering Mathematics-IV,99.77144226522466,Cryptography & Network Security,95.0,IoT,93.0,ecommerce|digital marketing|dashboard|agile|crm|analytics|react|seo|web
DBM,1,0,Data Science & Analytics,Full Stack Development,90.1,Java,83.8,Computer Networks,80.2,Engineering Mathematics-IV,80.1,Database Management Systems,75.6,
CSL,1,1,Network & Wireless Systems,Engineering Mathematics-IV,78.9,Artificial Intelligence,75.5,Automata Theory,74.9,Microcontroller & Embedded Systems,70.3,Design & Analysis of Algorithms,69.8,phishing|security|firewall|forensics|encryption
RE,1,3,Network & Wireless Systems,Microcontroller & Embedded Systems,92.2,Engineering Mathematics-III,85.3,Data Structures and Algorithms,79.3,Java,78.4,Engineering Mathematics-IV,76.2,weibull|kpi|fault tree|statistics|quality|simulation|testing|fmea|reliability
DBM,3,4,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Full Stack Development,100.0,Computer Networks,95.4,Automata Theory,95.0,Engineering Mathematics-IV,92.4,Design & Analysis of Algorithms,91.3,ecommerce|digital marketing|agile|crm|analytics|react|inventory|seo
RE,1,3,Network & Wireless Systems,Database Management Systems,67.6,Computer Networks,65.2,Operating Systems,60.0,Automata Theory,58.1,C++,55.9,fault tree|statistics|quality|simulation|security|fmea|testing|risk|reliability
RE,2,1,Network & Wireless Systems|Cloud & Distributed Systems,Operating Systems,78.8,Microcontroller & Embedded Systems,67.8,Data Structures and Algorithms,64.7,Engineering Mathematics-III,63.8,IoT,62.1,fault tree|quality|testing|risk|reliability
EAM,2,0,Mobile & IoT Development|Network & Wireless Systems,Digital Logic & Design,72.4,Engineering Mathematics-IV,66.0,C++,57.1,Microcontroller & Embedded Systems,56.7,Full Stack Development,56.2,
EAM,1,2,Mobile & IoT Development,IoT,64.0,Engineering Mathematics-III,59.5,Software Engineering,55.6,Python,50.9,Microcontroller & Embedded Systems,49.4,monitoring|sensor|iot|efficiency|hvac|renewable|energy
EAM,1,3,Mobile & IoT Development,Cryptography & Network Security,49.4,IoT,38.1,Engineering Mathematics-IV,35.8,Software Engineering,34.2,C++,33.7,audit|solar|power|iot|sensor|hvac|renewable|firewall
DBM,2,1,Data Science & Analytics|Web Development,Artificial Intelligence,52.6,Engineering Mathematics-III,48.67489941450265,C++,47.7,Data Structures and Algorithms,45.6,Automata Theory,44.3,dashboard|web|crm|analytics
RE,1,2,Network & Wireless Systems,Computer Networks,76.1,C++,70.0,Microcontroller & Embedded Systems,62.8,Data Structures and Algorithms,61.1,Artificial Intelligence,60.9,power|statistics|quality|fmea|testing|firewall
EAM,1,0,Mobile & IoT Development,IoT,77.4,C++,74.6,Engineering Mathematics-III,67.4,Python,65.7,Operating Systems,62.3,
EAM,2,1,Mobile & IoT Development|Cloud & Distributed Systems,Cryptography & Network Security,51.5,Software Engineering,50.5,Engineering Mathematics-III,44.5,Microcontroller & Embedded Systems,42.9,Design & Analysis of Algorithms,41.4,renewable|power|hvac
OR,2,1,Data Science & Analytics|Artificial Intelligence & Machine Learning,Artificial Intelligence,83.0,Engineering Mathematics-III,80.9,Software Engineering,75.3,Data Structures and Algorithms,71.9,Digital Logic & Design,63.8,supply chain|power|scheduling|simulation|optimization|scipy
EAM,2,2,Mobile & IoT Development|Network & Wireless Systems,IoT,72.5,Microcontroller & Embedded Systems,62.3,Data Structures and Algorithms,58.6,Engineering Mathematics-IV,57.7,Engineering Mathematics-III,55.5,audit|solar|monitoring|sensor|iot|hvac|renewable|energy
RE,1,0,Network & Wireless Systems,Engineering Mathematics-III,72.7,Automata Theory,68.0,Cryptography & Network Security,64.6,Computer Networks,64.4,Data Structures and Algorithms,61.7,
CSL,2,4,Network & Wireless Systems|Web Development,Microcontroller & Embedded Systems,55.4,Cryptography & Network Security,51.6,Database Management Systems,46.8,Computer Networks,46.0,Digital Logic & Design,45.4,vulnerability|authentication|phishing|security|cyber|firewall|network security|encryption
RE,2,2,Network & Wireless Systems|Cloud & Distributed Systems,Data Structures and Algorithms,88.3,Engineering Mathematics-IV,82.5,Python,79.0,IoT,73.7,Java,71.2,weibull|fault tree|quality|simulation|scipy|fmea|testing|probability|risk|reliability
DBM,1,1,Web Development,Engineering Mathematics-III,72.1396190765602,Java,68.1,C++,67.6,Artificial Intelligence,61.7,Database Management Systems,60.5,seo|dashboard|web|ecommerce
DBM,1,2,Web Development,Artificial Intelligence,70.5,Python,68.5,Full Stack Development,66.3,C++,65.8,Operating Systems,64.5,digital marketing|dashboard|crm|react|seo
DBM,1,0,Data Science & Analytics,C++,95.4,IoT,85.4,Data Structures and Algorithms,84.2,Engineering Mathematics-III,77.5,Artificial Intelligence,77.4,
EAM,1,4,Mobile & IoT Development,Engineering Mathematics-IV,71.10395591087754,Engineering Mathematics-III,70.1593658559046,IoT,65.0,Database Management Systems,64.0,Data Structures and Algorithms,62.6,audit|solar|monitoring|power|sensor|iot|efficiency|hvac|renewable|energy
DBM,3,3,Web Development|Data Science & Analytics|Cloud & Distributed Systems,Engineering Mathematics-IV,84.6294514735668,Data Structures and Algorithms,74.0,Database Management Systems,70.4,Engineering Mathematics-III,65.6977844789642,Operating Systems,64.4,kpi|ecommerce|digital marketing|dashboard|agile|cyber|analytics|react|seo|web
DBM,2,3,Data Science & Analytics|Cloud & Distributed Systems,Engineering Mathematics-IV,77.01517641284349,Full Stack Development,69.8,Design & Analysis of Algorithms,69.3,IoT,68.7,Engineering Mathematics-III,68.26392777137481,kpi|ecommerce|digital marketing|quality|dashboard|agile|crm|react|seo|web
