student_id,archetype,semester,current_cgpa,current_sgpa,previous_sgpa,sgpa_trend,attendance,assignment_completion,quiz_average,lab_performance,project_score,study_hours,participation_score,extracurricular,dept_avg,num_subjects,num_backlogs,num_strong_subjects,num_weak_subjects,avg_subject_score,min_subject_score,max_subject_score,std_subject_score,practical_avg,theory_avg,credits_completed_ratio,next_sgpa
STU_00013,average,3,2.85,4.16,1.42,2.74,65.0,70.4,40.5,51.2,59.7,5.8,55.3,0.0,6.15,6,1,0,4,44.1,5.5,61.0,18.3,59.7,36.2,0.25,4.55
STU_00014,strong,4,9.04,8.73,9.05,-0.32,82.9,85.5,71.7,90.1,84.2,5.1,68.0,63.5,5.14,7,0,6,0,78.0,63.3,85.1,6.9,83.9,75.6,0.38,9.0
STU_00015,below_avg,3,2.4,0.32,3.53,-3.21,59.4,36.1,34.5,57.6,41.9,4.0,68.4,7.3,6.39,6,5,0,5,30.9,14.8,53.7,11.8,42.8,25.0,0.25,0.0
STU_00016,improving,3,4.13,4.84,1.79,3.05,90.5,66.4,53.6,73.4,62.8,9.7,62.2,41.5,6.95,6,0,1,3,51.4,40.0,72.2,11.0,61.2,46.5,0.25,6.18
STU_00017,below_avg,3,0.1,0.74,0.32,0.42,64.6,58.6,45.1,72.3,30.7,1.1,54.1,24.8,6.9,6,4,0,5,35.6,23.0,53.2,10.2,48.9,29.0,0.25,0.0
STU_00018,above_avg,4,4.99,4.64,3.89,0.75,84.0,69.3,55.9,61.5,61.4,4.9,56.6,30.9,5.98,7,1,0,3,54.0,38.4,66.5,8.4,63.9,50.1,0.38,6.89
STU_00019,below_avg,3,1.01,1.05,0.84,0.21,53.5,52.7,40.1,38.9,50.6,3.1,68.5,55.5,4.94,6,4,0,6,31.8,11.6,44.1,11.7,40.2,27.5,0.25,2.73
STU_00020,below_avg,3,0.82,2.05,0.21,1.84,63.1,36.4,41.4,68.4,36.0,3.6,91.6,11.2,4.52,6,3,0,4,39.0,5.5,63.0,18.9,59.4,28.8,0.25,2.73
STU_00021,below_avg,5,4.24,3.78,4.27,-0.49,59.2,54.8,62.7,77.9,37.9,1.5,31.8,0.2,6.21,4,1,0,1,54.8,39.1,66.1,10.9,57.0,52.6,0.5,4.62
STU_00022,above_avg,4,6.75,6.73,7.11,-0.38,69.4,61.6,61.0,50.1,74.5,6.4,65.4,45.3,5.97,7,0,0,0,61.3,52.0,69.4,5.3,58.0,62.6,0.38,6.67
STU_00023,failing,6,0.11,0.0,0.44,-0.44,14.9,23.1,16.8,9.5,0.1,0.8,23.2,0.0,5.22,4,4,0,4,2.1,2.0,2.5,0.2,2.2,2.0,0.62,0.0
STU_00024,struggling,4,0.0,0.0,0.0,0.0,40.0,32.4,19.2,47.3,33.9,3.0,30.1,0.9,5.25,7,7,0,7,16.4,2.0,33.5,13.4,29.1,11.3,0.38,0.0
STU_00025,struggling,7,0.45,0.0,0.0,0.0,43.3,19.4,8.0,19.7,31.4,2.3,31.7,21.3,5.89,3,3,0,3,10.4,2.0,22.7,8.9,14.6,2.0,0.75,0.0
STU_00026,above_avg,4,6.92,6.18,7.63,-1.45,72.2,75.1,57.0,52.5,46.5,5.8,48.8,62.2,5.84,7,0,0,1,57.9,48.7,66.6,5.6,57.3,58.1,0.38,7.11
STU_00027,below_avg,3,1.43,0.0,2.16,-2.16,50.7,55.0,35.1,63.0,50.9,3.3,70.3,31.8,6.45,6,6,0,6,30.1,20.1,37.9,6.9,32.0,29.1,0.25,0.27
STU_00028,below_avg,5,1.41,0.0,3.32,-3.32,49.3,44.9,21.4,33.2,56.7,1.0,71.6,47.5,7.71,4,4,0,4,26.6,5.4,38.3,12.6,34.4,18.9,0.5,2.38
STU_00029,struggling,3,0.14,0.0,0.0,0.0,41.1,34.9,13.4,14.5,49.1,2.1,39.0,38.9,6.02,6,6,0,6,7.5,2.0,19.7,7.2,17.5,2.5,0.25,0.0
STU_00030,topper,3,9.26,9.79,9.16,0.63,95.8,87.3,92.6,82.6,82.6,11.2,94.9,30.4,5.79,6,0,6,0,87.7,79.0,93.0,5.1,92.0,85.5,0.25,10.0
STU_00031,struggling,3,1.12,0.0,0.68,-0.68,45.3,45.4,28.8,32.5,10.9,2.3,55.2,49.5,5.39,6,6,0,6,24.6,4.5,35.4,10.2,28.7,22.5,0.25,0.23
STU_00032,average,3,5.25,5.37,5.05,0.32,75.8,69.5,51.5,83.2,49.6,2.4,58.1,39.3,6.8,6,1,1,1,58.8,36.2,70.5,11.3,69.3,53.4,0.25,5.95
STU_00033,above_avg,5,6.6,6.22,6.0,0.22,84.6,68.9,55.7,84.6,65.3,5.0,60.3,39.9,7.94,4,0,2,1,63.0,46.4,76.4,11.8,74.1,52.0,0.5,7.25
STU_00034,average,4,0.63,1.23,0.32,0.91,69.7,50.6,31.1,54.0,54.5,2.6,50.3,43.6,4.81,7,5,0,6,30.5,3.5,63.4,18.4,45.1,24.7,0.38,3.56
STU_00035,strong,4,8.01,7.82,8.95,-1.13,87.1,73.5,77.5,77.2,70.0,7.1,71.9,53.5,5.82,7,0,5,0,71.4,65.8,75.1,3.2,72.1,71.2,0.38,8.67
STU_00036,topper,3,9.66,9.16,10.0,-0.84,95.5,90.5,82.1,85.5,70.1,9.7,80.3,66.0,6.51,6,0,6,0,82.8,72.2,97.9,9.4,95.0,76.7,0.25,10.0
STU_00037,strong,4,8.22,8.18,8.74,-0.56,86.0,90.9,83.7,87.0,64.3,9.3,84.7,9.6,6.73,7,0,6,0,77.4,64.5,91.1,8.8,89.6,72.5,0.38,7.78
STU_00038,struggling,7,0.39,0.0,0.75,-0.75,38.4,27.0,19.8,20.0,48.5,0.7,24.4,11.0,6.47,3,3,0,3,10.6,2.0,17.6,6.5,14.9,2.0,0.75,0.0
STU_00039,topper,3,9.26,10.0,8.32,1.68,95.2,91.7,91.5,96.3,99.2,8.6,86.9,29.8,6.85,6,0,6,0,95.3,83.9,100.0,5.8,100.0,92.9,0.25,10.0
STU_00040,average,3,1.88,1.79,2.0,-0.21,81.0,52.7,30.9,50.4,35.2,3.5,71.8,36.9,6.51,6,4,0,5,33.4,9.8,61.8,17.3,49.1,25.5,0.25,1.18
STU_00041,below_avg,7,0.14,0.0,0.0,0.0,53.5,55.9,30.3,30.4,60.6,3.7,40.6,11.6,6.54,3,3,0,3,27.0,11.5,39.8,11.7,20.6,39.8,0.75,0.83
STU_00042,strong,3,7.48,7.47,7.16,0.31,84.3,90.4,67.3,83.7,59.8,7.5,75.5,14.5,4.0,6,0,2,0,72.4,65.4,85.1,8.5,84.2,66.5,0.25,10.0
STU_00043,struggling,3,0.42,0.0,0.0,0.0,54.9,28.3,10.2,26.8,23.4,1.2,27.3,29.3,6.69,6,6,0,6,9.9,2.0,23.9,8.8,12.9,8.4,0.25,0.55
STU_00044,failing,6,0.0,0.0,0.0,0.0,12.4,16.9,29.2,30.7,46.7,0.4,17.0,32.2,6.85,4,4,0,4,15.6,3.0,21.8,7.4,14.6,18.7,0.62,0.0
STU_00045,struggling,5,0.6,0.67,0.0,0.67,25.9,17.5,35.3,35.2,39.2,0.9,16.6,4.9,6.13,4,3,0,3,30.2,2.0,53.3,18.7,40.2,20.1,0.5,0.0
STU_00046,average,7,1.06,0.83,1.0,-0.17,78.8,59.2,40.6,37.8,67.1,4.4,50.2,0.0,6.45,3,2,0,3,35.5,24.9,49.5,10.3,37.2,32.0,0.75,0.67
STU_00047,topper,5,9.59,10.0,10.0,0.0,91.7,97.3,87.8,100.0,73.5,8.5,69.5,80.7,6.75,4,0,4,0,91.1,82.1,100.0,7.8,98.8,83.3,0.5,10.0
STU_00048,failing,4,0.0,0.0,0.0,0.0,19.8,5.2,5.8,15.2,16.1,0.6,25.6,0.0,5.98,7,7,0,7,5.2,2.0,14.5,5.1,13.1,2.0,0.38,0.0
STU_00049,average,4,2.46,2.32,2.63,-0.31,70.2,61.6,31.5,68.9,43.0,5.8,40.0,33.7,4.4,7,3,0,5,39.7,13.0,60.7,15.6,51.9,34.8,0.38,2.78
STU_00050,average,4,4.49,6.0,2.84,3.16,66.5,65.8,65.8,72.6,40.9,3.5,40.5,35.9,6.94,7,0,1,2,58.3,45.4,76.3,9.6,68.2,54.3,0.38,6.67
STU_00051,strong,3,7.07,7.05,6.95,0.1,91.5,81.4,65.5,79.3,77.3,8.3,70.1,0.0,5.08,6,0,2,0,63.9,51.7,73.7,7.0,68.0,61.8,0.25,8.55
STU_00052,average,5,0.23,0.67,0.27,0.4,79.1,61.9,46.6,56.5,35.9,5.8,41.9,25.0,6.54,4,3,0,3,41.2,27.4,59.1,11.4,49.4,33.1,0.5,5.0
STU_00053,struggling,6,0.0,0.0,0.0,0.0,41.1,39.5,18.4,29.2,70.3,1.4,34.1,30.0,4.77,4,4,0,4,24.4,11.0,30.7,7.8,22.3,30.7,0.62,0.0
STU_00054,strong,4,7.47,7.0,7.89,-0.89,75.5,90.1,64.9,75.1,78.1,6.5,56.5,49.0,6.29,7,0,1,0,64.6,59.0,77.3,6.3,65.5,64.2,0.38,8.0
STU_00055,strong,3,7.02,6.42,8.53,-2.11,84.9,73.6,52.0,85.7,75.0,9.4,75.2,75.5,6.81,6,0,2,1,64.5,48.3,85.0,13.3,82.5,55.6,0.25,7.36
STU_00056,topper,4,8.02,9.09,7.26,1.83,98.5,89.4,73.1,78.4,61.3,10.1,44.8,58.5,6.15,7,0,7,0,81.5,70.5,92.3,6.9,89.6,78.3,0.38,9.67
STU_00057,strong,4,7.18,7.59,7.05,0.54,88.4,92.1,69.2,60.3,63.1,9.7,60.7,41.2,6.56,7,0,3,0,72.1,57.5,87.1,9.9,80.2,68.9,0.38,9.0
STU_00058,strong,5,7.71,7.56,7.64,-0.08,89.5,81.7,66.9,70.3,68.7,7.1,74.8,73.7,7.79,4,0,2,0,69.8,66.6,72.2,2.1,70.3,69.4,0.5,10.0
STU_00059,struggling,4,0.4,0.0,0.0,0.0,41.6,43.6,12.2,30.2,19.5,0.8,34.6,29.7,7.4,7,7,0,7,11.4,2.0,26.1,9.3,15.7,9.7,0.38,0.0
STU_00060,strong,4,8.44,7.41,8.63,-1.22,82.0,85.4,64.8,67.6,59.5,9.2,75.5,37.0,7.04,7,0,4,0,71.1,59.1,83.6,7.3,80.9,67.2,0.38,8.0
STU_00061,above_avg,6,6.37,6.25,7.0,-0.75,79.6,90.8,60.3,43.6,61.8,6.8,42.3,73.0,4.58,4,0,0,1,55.3,46.7,67.1,7.5,51.4,67.1,0.62,7.17
STU_00062,above_avg,3,7.04,6.84,5.58,1.26,86.3,77.3,63.7,82.5,56.0,6.3,65.3,57.8,6.17,6,0,3,1,66.2,48.3,78.9,11.1,76.6,61.0,0.25,6.73
STU_00063,above_avg,5,5.61,6.22,4.5,1.72,80.4,65.4,69.3,76.0,81.8,6.5,38.5,32.2,5.13,4,0,0,0,62.0,56.2,68.5,4.6,66.0,58.0,0.5,8.0
STU_00064,above_avg,4,7.14,6.91,7.26,-0.35,71.3,78.1,56.8,62.9,56.1,6.8,56.7,33.1,5.58,7,0,3,1,64.3,46.1,78.2,11.4,69.4,62.2,0.38,7.22
STU_00065,failing,6,0.0,0.62,0.0,0.62,9.9,18.8,18.1,32.0,23.1,1.3,34.5,44.1,7.08,4,3,0,4,16.9,2.0,46.2,18.0,21.8,2.0,0.62,0.0
STU_00066,average,5,4.59,5.11,4.36,0.75,71.4,49.8,32.8,54.5,39.9,2.2,37.7,15.8,5.93,4,0,0,3,48.8,42.6,55.7,4.7,48.5,49.2,0.5,3.5
STU_00067,average,4,3.54,4.05,1.79,2.26,65.7,55.3,42.6,73.2,41.2,5.8,82.3,62.4,5.21,7,2,0,2,50.5,18.7,65.8,16.4,61.4,46.2,0.38,3.44
STU_00068,topper,5,10.0,9.67,9.64,0.03,93.9,92.8,88.2,78.7,61.2,11.4,64.9,55.4,5.7,4,0,4,0,87.7,79.8,93.1,5.1,92.0,83.3,0.5,10.0
STU_00069,average,3,4.46,5.89,1.89,4.0,71.2,56.6,50.8,53.0,51.4,3.1,53.7,33.8,6.8,6,0,0,2,53.5,42.9,61.0,6.9,51.4,54.6,0.25,2.05
STU_00070,improving,3,4.01,5.58,0.42,5.16,81.4,66.0,68.2,81.5,52.8,6.2,75.8,39.9,5.42,6,1,2,1,59.9,37.7,75.1,13.3,70.4,54.6,0.25,6.0
STU_00071,struggling,5,0.0,0.0,0.0,0.0,49.3,19.4,17.3,3.6,31.3,0.7,22.6,0.0,6.07,4,4,0,4,3.9,2.0,9.5,3.2,5.8,2.0,0.5,0.0
STU_00072,strong,7,6.61,6.83,7.25,-0.42,81.5,85.2,75.6,73.2,45.2,7.6,66.8,11.1,5.57,3,0,1,0,66.7,50.7,81.2,12.5,74.8,50.7,0.75,6.83
STU_00073,above_avg,4,5.03,6.14,3.95,2.19,75.3,54.8,57.8,68.5,77.2,7.8,70.2,33.4,7.15,7,0,1,1,60.2,47.1,74.9,8.1,68.8,56.7,0.38,8.11
STU_00074,above_avg,6,3.38,3.25,3.11,0.14,77.5,60.0,59.0,59.9,65.0,4.8,49.8,25.3,8.13,4,1,0,1,51.3,33.1,61.8,11.4,57.4,33.1,0.62,6.67
STU_00075,above_avg,7,4.52,5.17,3.62,1.55,85.4,80.0,44.6,84.1,46.8,7.5,86.2,30.4,5.45,3,0,1,1,57.8,41.6,71.6,12.4,65.8,41.6,0.75,7.83
STU_00076,strong,3,8.63,8.95,8.0,0.95,79.4,88.7,80.3,85.8,100.0,7.4,73.4,34.4,4.85,6,0,5,0,79.5,65.0,92.6,8.2,87.8,75.3,0.25,9.45
STU_00077,average,5,3.0,3.44,2.27,1.17,85.9,72.8,29.9,19.1,50.4,5.7,48.6,0.9,6.71,4,2,0,4,34.8,21.8,47.1,11.0,23.9,45.7,0.5,1.5
STU_00078,topper,3,9.21,9.58,8.42,1.16,82.7,91.9,88.4,100.0,65.3,13.1,61.4,58.4,5.88,6,0,6,0,85.0,74.1,100.0,8.1,91.2,81.8,0.25,10.0
STU_00079,below_avg,5,0.85,1.33,0.23,1.1,47.0,44.4,34.1,57.8,37.2,2.4,66.1,0.0,5.58,4,3,0,4,32.1,10.9,44.4,12.7,36.5,27.6,0.5,2.0
STU_00080,strong,4,6.14,5.64,6.37,-0.73,82.9,82.4,59.2,62.6,49.4,7.0,77.9,35.6,5.42,7,1,1,1,59.7,37.6,83.2,12.9,68.7,56.1,0.38,6.56
STU_00081,topper,5,9.55,9.0,9.59,-0.59,92.4,90.4,76.3,82.1,100.0,11.2,84.8,47.7,6.54,4,0,3,0,87.9,66.1,100.0,12.9,92.8,83.0,0.5,10.0
STU_00082,below_avg,4,0.44,0.0,0.42,-0.42,58.2,55.4,9.6,33.2,32.5,2.5,49.6,21.1,5.54,7,7,0,7,16.6,6.2,30.1,7.7,16.1,16.7,0.38,0.0
STU_00083,improving,4,2.33,3.55,0.42,3.13,85.2,71.1,38.8,49.2,51.6,5.6,36.8,19.3,4.93,7,2,0,4,47.5,24.3,66.2,14.1,64.5,40.7,0.38,4.0
STU_00084,strong,7,7.67,8.67,6.62,2.05,96.6,90.6,78.9,82.6,62.6,5.5,73.9,62.1,6.49,3,0,3,0,79.2,74.4,83.2,3.6,81.7,74.4,0.75,8.67
STU_00085,above_avg,6,6.9,8.25,6.89,1.36,82.0,62.8,67.0,73.8,66.7,6.9,46.5,44.7,5.48,4,0,3,0,74.8,67.6,80.5,5.6,77.3,67.6,0.62,8.0
STU_00086,struggling,4,0.99,0.27,2.53,-2.26,33.1,26.3,18.5,51.8,36.4,2.5,30.2,10.2,5.55,7,6,0,6,21.7,5.0,51.8,14.6,38.1,15.2,0.38,0.0
STU_00087,strong,4,7.33,6.64,7.58,-0.94,92.9,77.2,62.4,75.0,70.6,8.2,93.3,1.6,5.37,7,0,2,0,64.4,50.0,76.8,9.5,75.9,59.8,0.38,7.0
STU_00088,strong,7,7.21,7.67,7.25,0.42,88.3,85.4,69.0,83.4,51.0,6.3,53.4,38.2,6.0,3,0,2,0,73.5,65.8,78.4,5.5,77.4,65.8,0.75,7.67
STU_00089,inconsistent,3,5.45,7.32,2.21,5.11,54.0,38.2,65.8,93.1,70.1,6.2,53.1,22.8,7.21,6,0,2,0,67.8,53.0,89.2,12.7,77.2,63.1,0.25,6.68
STU_00090,above_avg,5,3.66,2.89,4.32,-1.43,87.0,73.3,62.3,73.1,70.1,4.8,60.8,9.3,5.46,4,1,0,2,50.1,35.1,60.8,11.1,60.8,39.5,0.5,6.25
STU_00091,below_avg,3,0.96,0.32,1.16,-0.84,59.2,37.5,27.7,33.4,42.9,4.0,68.2,27.1,5.81,6,5,0,5,32.1,16.7,56.5,12.2,40.3,28.0,0.25,0.18
STU_00092,average,5,1.75,0.44,2.77,-2.33,61.6,76.3,39.3,53.4,61.0,4.1,59.4,30.0,6.22,4,3,0,4,37.1,31.7,44.7,5.3,42.0,32.1,0.5,0.75
STU_00093,average,6,1.14,0.75,0.67,0.08,84.8,55.6,27.1,55.1,41.2,3.3,56.1,25.9,5.56,4,3,0,3,35.9,27.2,55.4,11.5,36.9,33.0,0.62,4.5
STU_00094,above_avg,3,7.4,7.84,6.79,1.05,80.2,53.1,77.1,89.6,59.7,4.8,82.1,89.4,6.24,6,0,4,0,69.9,52.4,79.0,8.8,73.2,68.2,0.25,4.86
STU_00095,above_avg,3,4.8,5.79,4.58,1.21,87.8,64.6,49.0,56.2,65.0,7.2,67.3,26.0,7.33,6,0,1,3,55.0,46.2,74.9,9.6,55.6,54.8,0.25,9.23
STU_00096,average,3,2.27,2.68,2.11,0.57,75.4,63.6,40.7,73.9,72.6,4.5,14.7,18.8,6.55,6,2,0,5,42.4,18.9,65.8,14.1,57.5,34.9,0.25,1.27
STU_00097,strong,5,7.38,7.33,7.73,-0.4,91.7,89.0,69.0,100.0,52.9,5.1,62.7,6.9,5.61,4,0,1,0,71.8,62.4,97.2,14.7,79.8,63.7,0.5,7.62
STU_00098,above_avg,6,4.33,4.75,5.11,-0.36,85.2,71.4,49.2,53.8,61.7,7.7,38.2,36.8,4.68,4,0,0,3,47.3,42.5,53.1,4.2,46.6,49.5,0.62,6.17
STU_00099,average,4,0.27,0.55,0.84,-0.29,65.1,71.9,39.6,54.9,45.9,5.1,26.4,19.6,6.85,7,5,0,5,36.2,21.1,54.3,11.1,52.5,29.7,0.38,1.67
STU_00100,strong,3,8.1,9.0,7.53,1.47,89.5,76.6,74.8,66.5,85.7,5.4,74.2,26.1,6.57,6,0,5,0,77.2,67.3,84.7,6.3,75.4,78.1,0.25,8.41
STU_00101,improving,5,4.17,6.78,0.23,6.55,79.9,71.6,67.9,80.2,72.1,5.2,52.9,43.6,5.34,4,0,1,0,64.4,53.3,80.4,10.3,69.2,59.6,0.5,4.38
STU_00102,average,3,3.42,4.37,1.89,2.48,74.0,64.2,44.7,41.5,57.7,4.6,22.7,45.7,6.69,6,1,0,4,48.7,39.8,55.4,5.0,47.3,49.4,0.25,5.59
STU_00103,below_avg,6,1.02,2.5,0.44,2.06,53.0,46.1,41.5,45.7,44.0,3.2,61.1,31.2,5.24,4,2,0,4,39.7,37.1,42.7,2.2,38.7,42.7,0.62,1.83
STU_00104,below_avg,4,0.19,0.0,0.0,0.0,54.0,44.4,10.9,19.1,34.7,1.9,59.9,16.0,6.11,7,7,0,7,14.2,6.2,26.2,6.9,19.1,12.2,0.38,0.44
STU_00105,average,3,5.01,6.37,4.0,2.37,78.4,50.8,49.9,50.0,50.3,2.9,45.2,0.0,6.18,6,0,0,1,55.5,46.1,64.2,6.3,51.9,57.3,0.25,4.86
STU_00106,topper,3,8.73,9.37,9.37,0.0,91.5,97.5,86.3,92.1,75.8,13.1,61.0,18.4,7.33,6,0,5,0,87.3,69.0,100.0,10.8,88.5,86.8,0.25,10.0
STU_00107,above_avg,5,5.54,5.78,5.36,0.42,83.0,72.8,55.3,65.2,73.1,4.2,44.4,28.8,8.2,4,0,2,1,60.4,42.7,73.8,12.8,72.5,48.4,0.5,7.38
STU_00108,average,6,2.77,5.0,1.22,3.78,68.5,65.2,48.4,68.1,43.0,4.2,33.5,48.3,6.44,4,1,0,2,45.0,33.3,52.0,7.3,42.7,52.0,0.62,5.83
STU_00109,below_avg,5,0.71,0.89,0.73,0.16,43.9,46.6,40.7,50.0,52.6,2.9,68.0,23.6,6.58,4,2,0,4,38.1,34.2,42.2,3.6,41.7,34.5,0.5,0.0
STU_00110,below_avg,3,0.22,0.0,0.0,0.0,64.8,42.2,25.7,42.3,37.9,3.8,40.7,20.6,5.33,6,6,0,6,19.2,2.0,33.7,12.5,32.2,12.7,0.25,0.73
STU_00111,strong,3,8.42,8.74,8.37,0.37,82.0,89.2,74.1,100.0,92.6,9.0,63.8,37.2,6.05,6,0,5,0,79.9,65.2,95.3,10.4,92.8,73.5,0.25,8.36
STU_00112,average,5,0.49,0.56,1.27,-0.71,59.3,64.3,27.0,31.7,80.4,4.2,47.8,60.3,6.74,4,3,0,4,32.0,23.4,47.1,9.0,35.2,28.7,0.5,1.38
STU_00113,strong,5,7.56,6.67,7.73,-1.06,92.4,79.6,73.6,77.7,79.7,5.2,63.8,37.5,7.29,4,0,2,1,70.6,45.5,87.8,15.9,83.7,57.5,0.5,7.5
STU_00114,topper,4,9.75,10.0,9.58,0.42,95.3,85.4,83.0,100.0,96.2,12.0,73.9,70.8,7.08,7,0,7,0,89.5,80.5,100.0,7.4,96.4,86.8,0.38,10.0
STU_00115,topper,4,9.54,10.0,10.0,0.0,91.1,95.7,88.2,96.2,95.8,8.1,83.6,48.5,5.0,7,0,7,0,95.2,89.9,100.0,3.5,98.4,94.0,0.38,10.0
STU_00116,struggling,4,0.0,0.23,0.0,0.23,45.5,29.2,26.2,46.9,44.8,1.9,65.3,37.8,6.31,7,6,0,7,17.4,2.0,47.7,15.4,38.9,8.9,0.38,0.0
STU_00117,below_avg,4,1.23,0.55,1.26,-0.71,74.0,52.4,32.2,47.4,31.1,1.1,68.5,10.5,6.56,7,5,0,5,30.4,2.0,56.6,18.8,55.2,20.5,0.38,0.44
STU_00118,inconsistent,4,7.25,6.64,7.74,-1.1,48.3,32.6,58.3,67.2,51.0,6.0,57.6,37.2,5.54,7,1,1,1,60.8,35.8,100.0,18.1,44.0,67.6,0.38,6.78
STU_00119,above_avg,4,5.79,5.5,6.26,-0.76,85.2,84.0,48.7,90.8,46.7,6.1,58.1,60.4,7.13,7,1,1,1,59.7,32.2,81.3,13.8,74.9,53.6,0.38,5.78
STU_00120,below_avg,4,0.65,0.91,0.0,0.91,55.6,38.3,21.1,26.4,39.7,1.4,61.8,0.2,6.6,7,6,0,7,23.5,2.0,48.1,14.6,29.8,21.0,0.38,0.0
STU_00121,average,4,1.84,1.45,2.58,-1.13,75.3,69.9,47.2,62.9,50.7,2.7,38.1,47.3,6.98,7,4,0,5,42.2,22.9,59.3,12.5,58.5,35.6,0.38,2.11
STU_00122,struggling,3,0.0,0.0,0.0,0.0,50.7,33.4,13.7,18.2,26.1,1.4,50.7,0.0,4.75,6,6,0,6,11.7,2.0,16.6,4.9,14.7,10.2,0.25,0.0
STU_00123,strong,7,8.43,8.0,9.25,-1.25,92.6,90.8,70.9,82.8,68.2,9.4,48.3,47.9,6.9,3,0,2,0,80.1,68.5,89.9,8.8,85.9,68.5,0.75,9.0
STU_00124,below_avg,4,0.0,0.18,0.0,0.18,60.7,29.3,27.8,33.5,38.9,2.2,66.9,4.1,6.09,7,6,0,7,28.6,13.9,44.5,9.5,34.1,26.4,0.38,0.67
STU_00125,topper,3,9.8,9.16,9.58,-0.42,94.4,86.5,85.8,100.0,74.8,11.3,80.7,37.7,4.04,6,0,6,0,84.5,71.8,100.0,11.5,100.0,76.8,0.25,10.0
STU_00126,average,3,5.64,5.0,5.42,-0.42,64.1,52.3,52.1,73.9,63.3,5.9,62.9,32.4,6.38,6,1,1,2,52.9,36.3,77.3,12.4,61.6,48.5,0.25,3.41
STU_00127,topper,6,9.46,10.0,8.89,1.11,89.8,91.1,87.7,100.0,89.4,11.3,80.1,29.9,5.55,4,0,4,0,91.4,81.7,100.0,7.2,94.7,81.7,0.62,10.0
STU_00128,average,7,3.54,5.0,2.0,3.0,61.0,72.0,43.7,43.1,36.5,4.3,42.4,42.6,4.94,3,0,0,2,49.0,42.5,56.5,5.8,49.5,47.9,0.75,2.0
STU_00129,below_avg,3,0.35,0.42,0.0,0.42,65.4,54.3,25.4,19.3,26.0,1.3,61.6,23.5,5.54,6,5,0,6,24.5,2.0,41.5,12.4,36.5,18.5,0.25,0.23
STU_00130,strong,3,8.96,8.89,8.47,0.42,90.5,89.6,70.7,83.4,74.5,8.4,51.7,37.9,5.81,6,0,6,0,77.4,70.3,81.8,4.4,80.2,76.0,0.25,7.23
